emergency_id,medical_facility_id,location_id,response_time_minutes,dispatch_status
E0001,M002,L005,21,Completed
E0002,M002,L005,16,Completed
E0003,M006,L009,10,Completed
E0004,M004,L007,20,Completed
E0005,M001,L004,10,Completed
E0006,M002,L005,19,Completed
E0007,M003,L006,24,Completed
E0008,M002,L005,17,Completed
E0009,M006,L010,14,Completed
E0010,M006,L009,16,Completed
E0011,M002,L010,12,Completed
E0012,M002,L011,18,Completed
E0013,M006,L009,16,Completed
E0014,M002,L005,15,Completed
E0015,M001,L010,11,Completed
E0016,M006,L009,15,Completed
E0017,M006,L009,17,Completed
E0018,M006,L009,13,Completed
E0019,M004,L007,18,Completed
E0020,M002,L005,14,Completed
E0021,M006,L009,17,Completed
E0022,M001,L011,15,Completed
E0023,M004,L007,24,Completed
E0024,M002,L005,11,Completed
E0025,M004,L007,12,Completed
E0026,M002,L011,19,Completed
E0027,M002,L005,18,Completed
E0028,M002,L005,18,Completed
E0029,M002,L005,15,Completed
E0030,M004,L011,20,Completed
E0031,M004,L007,11,Completed
E0032,M006,L009,16,Completed
E0033,M003,L011,19,Completed
E0034,M006,L009,19,Completed
E0035,M006,L009,16,Completed
E0036,M004,L011,22,Completed
E0037,M002,L005,16,Completed
E0038,M006,L009,22,Completed
E0039,M004,L007,16,Completed
E0040,M004,L007,14,Completed
E0041,M006,L009,14,Completed
E0042,M002,L005,15,Completed
