calendar_date,location_id,item_id,consumed_qty
2026-05-01,L005,IT001,607
2026-05-01,L005,IT002,850
2026-05-01,L007,IT001,569
2026-05-01,L007,IT002,797
2026-05-01,L009,IT001,320
2026-05-01,L009,IT002,449
2026-05-01,L011,IT001,310
2026-05-01,L011,IT002,434
2026-05-01,L004,IT001,312
2026-05-01,L004,IT002,437
2026-05-01,L006,IT001,320
2026-05-01,L006,IT002,448
2026-05-01,L008,IT001,400
2026-05-01,L008,IT002,560
2026-05-01,L010,IT001,291
2026-05-01,L010,IT002,408
2026-05-02,L005,IT001,773
2026-05-02,L005,IT002,1082
2026-05-02,L007,IT001,636
2026-05-02,L007,IT002,891
2026-05-02,L009,IT001,336
2026-05-02,L009,IT002,471
2026-05-02,L011,IT001,373
2026-05-02,L011,IT002,523
2026-05-02,L004,IT001,449
2026-05-02,L004,IT002,629
2026-05-02,L006,IT001,305
2026-05-02,L006,IT002,428
2026-05-02,L008,IT001,287
2026-05-02,L008,IT002,402
2026-05-02,L010,IT001,397
2026-05-02,L010,IT002,557
2026-05-03,L005,IT001,731
2026-05-03,L005,IT002,1024
2026-05-03,L007,IT001,642
2026-05-03,L007,IT002,899
2026-05-03,L009,IT001,475
2026-05-03,L009,IT002,666
2026-05-03,L011,IT001,357
2026-05-03,L011,IT002,500
2026-05-03,L004,IT001,334
2026-05-03,L004,IT002,468
2026-05-03,L006,IT001,461
2026-05-03,L006,IT002,646
2026-05-03,L008,IT001,403
2026-05-03,L008,IT002,564
2026-05-03,L010,IT001,333
2026-05-03,L010,IT002,466
2026-05-04,L005,IT001,624
2026-05-04,L005,IT002,874
2026-05-04,L007,IT001,535
2026-05-04,L007,IT002,749
2026-05-04,L009,IT001,363
2026-05-04,L009,IT002,509
2026-05-04,L011,IT001,329
2026-05-04,L011,IT002,461
2026-05-04,L004,IT001,445
2026-05-04,L004,IT002,623
2026-05-04,L006,IT001,496
2026-05-04,L006,IT002,694
2026-05-04,L008,IT001,465
2026-05-04,L008,IT002,652
2026-05-04,L010,IT001,467
2026-05-04,L010,IT002,655
2026-05-05,L005,IT001,638
2026-05-05,L005,IT002,893
2026-05-05,L007,IT001,563
2026-05-05,L007,IT002,789
2026-05-05,L009,IT001,336
