calendar_date,location_id,behavior_pattern,risk_label
2026-05-01,L009,Restless,High
2026-05-01,L009,Restless,Medium
2026-05-01,L009,Restless,High
2026-05-01,L007,Orderly,Medium
2026-05-02,L007,Restless,High
2026-05-02,L009,Restless,High
2026-05-02,L009,Dense,Medium
2026-05-02,L007,Dense,High
2026-05-03,L007,Orderly,High
2026-05-03,L011,Orderly,Medium
2026-05-03,L011,Orderly,Low
2026-05-03,L011,Orderly,Low
2026-05-04,L009,Restless,Low
2026-05-04,L007,Restless,Low
2026-05-04,L011,Dense,Low
2026-05-04,L005,Restless,Medium
2026-05-05,L007,Orderly,Medium
2026-05-05,L007,Dense,High
2026-05-05,L005,Orderly,Medium
2026-05-05,L009,Dense,High
2026-05-06,L009,Dense,High
2026-05-06,L011,Dense,High
2026-05-06,L007,Orderly,High
2026-05-06,L007,Orderly,High
2026-05-07,L007,Dense,Low
2026-05-07,L009,Restless,Low
2026-05-07,L007,Restless,High
2026-05-07,L011,Dense,High
2026-05-08,L009,Restless,High
2026-05-08,L011,Orderly,Low
2026-05-08,L005,Orderly,Low
2026-05-08,L005,Restless,Low
2026-05-09,L007,Orderly,Medium
2026-05-09,L005,Dense,Low
2026-05-09,L005,Orderly,High
2026-05-09,L011,Dense,High
2026-05-10,L011,Dense,Medium
2026-05-10,L005,Orderly,High
2026-05-10,L011,Dense,Medium
2026-05-10,L011,Dense,Medium
2026-05-11,L009,Restless,Low
2026-05-11,L007,Orderly,High
2026-05-11,L009,Restless,Low
2026-05-11,L011,Restless,Medium
2026-05-12,L011,Restless,Medium
2026-05-12,L005,Restless,Medium
2026-05-12,L009,Orderly,Low
2026-05-12,L009,Dense,High
2026-05-13,L009,Restless,Medium
2026-05-13,L007,Restless,High
2026-05-13,L007,Dense,Medium
2026-05-13,L007,Restless,Low
2026-05-14,L007,Dense,Medium
2026-05-14,L007,Orderly,High
2026-05-14,L009,Dense,Low
2026-05-14,L009,Dense,High
2026-05-15,L005,Restless,Medium
2026-05-15,L005,Restless,Medium
2026-05-15,L011,Dense,Low
2026-05-15,L009,Dense,High
