file_name,row_count,column_count,sample_columns
accommodation_master.csv,6,5,"accommodation_id, accommodation_name, accommodation_type, location_id, total_rooms"
air_quality_logs.csv,120,3,"calendar_date, location_id, aqi"
ambulance_dispatch_logs.csv,42,5,"emergency_id, medical_facility_id, location_id, response_time_minutes, dispatch_status"
api_logs.csv,60,4,"calendar_date, endpoint, request_count, avg_response_ms"
asset_condition_logs.csv,4,3,"inspection_date, asset_id, condition_status"
asset_master.csv,6,5,"asset_id, asset_type, location_id, condition_status, max_capacity"
awareness_campaign_logs.csv,45,3,"calendar_date, campaign_name, estimated_reach"
backup_status.csv,60,3,"calendar_date, backup_scope, backup_status"
benchmark_repository.csv,3,3,"benchmark_id, benchmark_name, department_name"
booking_logs.csv,388,6,"booking_id, pilgrim_id, accommodation_id, booking_date, nights, booking_status"
bridge_asset_master.csv,3,4,"bridge_asset_id, location_id, condition_status, max_load"
checkin_checkout_logs.csv,303,5,"checkin_id, pilgrim_id, accommodation_id, checkin_date, checkout_date"
checkpoint_logs.csv,120,5,"calendar_date, route_id, checkpoint_name, throughput_count, congestion_level"
communication_usage_logs.csv,60,3,"calendar_date, channel_name, usage_count"
congestion_prediction.csv,120,3,"calendar_date, route_id, predicted_congestion_next_day"
consumption_logs.csv,240,4,"calendar_date, location_id, item_id, consumed_qty"
crowd_behavior_observations.csv,60,4,"calendar_date, location_id, behavior_pattern, risk_label"
crowd_density_logs.csv,60,5,"calendar_date, location_id, pilgrim_count, density_level, avg_queue_minutes"
crowd_forecast.csv,60,3,"calendar_date, location_id, predicted_crowd_next_day"
crowd_heatmap_logs.csv,60,6,"calendar_date, location_id, pilgrim_count, density_level, avg_queue_minutes, heat_score"
date_time_master.csv,15,6,"date_id, calendar_date, day_name, is_weekend, month_name, season"
decision_register.csv,90,4,"decision_id, calendar_date, location_id, decision_taken"
delivery_route_logs.csv,120,6,"delivery_id, calendar_date, source_location_id, destination_location_id, delivery_status, delivery_time_hours"
demand_forecast.csv,120,3,"calendar_date, location_id, predicted_demand_units_next_day"
department_output_register.csv,7,3,"department_name, output_dataset, deliverable_type"
device_registry.csv,40,4,"device_id, device_type, location_id, device_status"
eco_sensitivity_zones.csv,4,2,"location_id, eco_sensitivity_level"
environmental_stress_summary.csv,120,3,"calendar_date, location_id, environmental_stress_score"
escalation_logs.csv,38,4,"escalation_id, issue_id, escalated_to, closure_status"
experiment_registry.csv,4,3,"experiment_id, experiment_name, status"
food_stock_logs.csv,120,4,"calendar_date, location_id, food_stock_units, demand_level"
footfall_summary.csv,60,4,"calendar_date, location_id, footfall_count, avg_queue_minutes"
fuel_inventory_logs.csv,120,3,"calendar_date, location_id, fuel_stock_liters"
grievance_logs.csv,207,5,"grievance_id, pilgrim_id, location_id, grievance_type, closure_status"
