device_id,device_type,location_id,device_status
DVC001,Mobile,L011,Maintenance
DVC002,Camera,L004,Active
DVC003,Camera,L009,Active
DVC004,Laptop,L010,Maintenance
DVC005,Mobile,L002,Active
DVC006,Camera,L011,Active
DVC007,Tablet,L010,Active
DVC008,Mobile,L009,Active
DVC009,Tablet,L002,Active
DVC010,Mobile,L001,Maintenance
DVC011,Laptop,L001,Active
DVC012,Laptop,L005,Active
DVC013,Laptop,L002,Active
DVC014,Laptop,L002,Maintenance
DVC015,Mobile,L009,Maintenance
DVC016,Laptop,L007,Maintenance
DVC017,Tablet,L009,Maintenance
DVC018,Tablet,L010,Active
DVC019,Laptop,L011,Active
DVC020,Tablet,L006,Active
DVC021,Laptop,L004,Active
DVC022,Tablet,L003,Active
DVC023,Laptop,L011,Active
DVC024,Mobile,L008,Active
DVC025,Tablet,L006,Active
DVC026,Camera,L010,Maintenance
DVC027,Tablet,L009,Active
DVC028,Mobile,L005,Maintenance
DVC029,Tablet,L002,Active
DVC030,Camera,L009,Active
DVC031,Laptop,L007,Active
DVC032,Laptop,L004,Active
DVC033,Tablet,L001,Active
DVC034,Camera,L011,Maintenance
DVC035,Tablet,L009,Active
DVC036,Tablet,L007,Active
DVC037,Mobile,L007,Maintenance
DVC038,Camera,L009,Active
DVC039,Tablet,L008,Active
DVC040,Laptop,L006,Active
