calendar_date,location_id,food_stock_units,demand_level
2026-05-01,L005,731,High
2026-05-01,L007,602,Medium
2026-05-01,L009,339,Low
2026-05-01,L011,334,Low
2026-05-01,L004,382,Low
2026-05-01,L006,360,Low
2026-05-01,L008,450,Medium
2026-05-01,L010,356,Low
2026-05-02,L005,927,High
2026-05-02,L007,637,High
2026-05-02,L009,362,Low
2026-05-02,L011,410,Medium
2026-05-02,L004,622,Medium
2026-05-02,L006,423,Low
2026-05-02,L008,397,Low
2026-05-02,L010,420,Medium
2026-05-03,L005,884,High
2026-05-03,L007,717,High
2026-05-03,L009,553,Medium
2026-05-03,L011,407,Medium
2026-05-03,L004,381,Low
2026-05-03,L006,524,Medium
2026-05-03,L008,467,Medium
2026-05-03,L010,356,Low
2026-05-04,L005,774,High
2026-05-04,L007,592,Medium
2026-05-04,L009,516,Medium
2026-05-04,L011,402,Low
2026-05-04,L004,505,Medium
2026-05-04,L006,508,Medium
2026-05-04,L008,605,Medium
2026-05-04,L010,527,Medium
2026-05-05,L005,708,High
2026-05-05,L007,667,Medium
2026-05-05,L009,337,Low
2026-05-05,L011,384,Low
2026-05-05,L004,560,Medium
2026-05-05,L006,347,Low
2026-05-05,L008,398,Low
2026-05-05,L010,383,Medium
2026-05-06,L005,639,High
2026-05-06,L007,544,Medium
2026-05-06,L009,381,Low
2026-05-06,L011,331,Low
2026-05-06,L004,327,Low
2026-05-06,L006,622,Medium
2026-05-06,L008,372,Low
2026-05-06,L010,365,Low
2026-05-07,L005,750,High
2026-05-07,L007,674,Medium
2026-05-07,L009,467,Low
2026-05-07,L011,315,Low
2026-05-07,L004,610,Medium
2026-05-07,L006,394,Medium
2026-05-07,L008,391,Medium
2026-05-07,L010,350,Low
2026-05-08,L005,629,High
2026-05-08,L007,675,Medium
2026-05-08,L009,468,Medium
2026-05-08,L011,331,Low
2026-05-08,L004,214,Low
2026-05-08,L006,624,Medium
2026-05-08,L008,542,Medium
2026-05-08,L010,294,Low
2026-05-09,L005,945,High
2026-05-09,L007,691,High
2026-05-09,L009,651,Medium
2026-05-09,L011,424,Low
2026-05-09,L004,588,Medium
2026-05-09,L006,353,Low
2026-05-09,L008,542,Medium
2026-05-09,L010,427,Low
2026-05-10,L005,866,High
2026-05-10,L007,797,High
2026-05-10,L009,539,Medium
2026-05-10,L011,465,Medium
2026-05-10,L004,506,Medium
2026-05-10,L006,487,Medium
2026-05-10,L008,459,Medium
2026-05-10,L010,529,Medium
2026-05-11,L005,668,Medium
2026-05-11,L007,591,Medium
2026-05-11,L009,518,Medium
2026-05-11,L011,267,Low
2026-05-11,L004,359,Medium
2026-05-11,L006,373,Low
2026-05-11,L008,266,Low
2026-05-11,L010,332,Medium
2026-05-12,L005,812,High
2026-05-12,L007,495,Medium
2026-05-12,L009,329,Low
2026-05-12,L011,367,Low
2026-05-12,L004,214,Low
2026-05-12,L006,331,Low
2026-05-12,L008,430,Low
2026-05-12,L010,364,Low
2026-05-13,L005,714,High
2026-05-13,L007,676,Medium
2026-05-13,L009,448,Medium
2026-05-13,L011,265,Low
2026-05-13,L004,290,Low
2026-05-13,L006,384,Low
2026-05-13,L008,319,Low
2026-05-13,L010,407,Low
2026-05-14,L005,664,High
2026-05-14,L007,447,Medium
2026-05-14,L009,337,Low
2026-05-14,L011,308,Low
2026-05-14,L004,297,Low
2026-05-14,L006,331,Low
2026-05-14,L008,317,Low
2026-05-14,L010,501,Medium
2026-05-15,L005,666,High
2026-05-15,L007,671,Medium
2026-05-15,L009,329,Low
2026-05-15,L011,365,Low
2026-05-15,L004,432,Low
2026-05-15,L006,408,Medium
2026-05-15,L008,441,Medium
2026-05-15,L010,358,Medium
