calendar_date,location_id,footfall_count,avg_queue_minutes
2026-05-01,L005,4250,23
2026-05-01,L007,3986,47
2026-05-01,L009,2246,15
2026-05-01,L011,2171,20
2026-05-02,L005,5414,61
2026-05-02,L007,4455,30
2026-05-02,L009,2355,13
2026-05-02,L011,2616,36
2026-05-03,L005,5120,44
2026-05-03,L007,4495,46
2026-05-03,L009,3331,23
2026-05-03,L011,2502,29
2026-05-04,L005,4370,51
2026-05-04,L007,3745,28
2026-05-04,L009,2547,30
2026-05-04,L011,2305,23
2026-05-05,L005,4466,46
2026-05-05,L007,3945,38
2026-05-05,L009,2358,20
2026-05-05,L011,2401,13
2026-05-06,L005,4292,32
2026-05-06,L007,3607,40
2026-05-06,L009,2447,20
2026-05-06,L011,1760,20
2026-05-07,L005,4361,53
2026-05-07,L007,3523,31
2026-05-07,L009,2462,33
2026-05-07,L011,2076,19
2026-05-08,L005,4351,37
2026-05-08,L007,3488,30
2026-05-08,L009,2668,14
2026-05-08,L011,2133,12
2026-05-09,L005,5548,34
2026-05-09,L007,4360,39
2026-05-09,L009,3391,27
2026-05-09,L011,2486,35
2026-05-10,L005,4887,23
2026-05-10,L007,4610,34
2026-05-10,L009,2744,28
2026-05-10,L011,2685,17
2026-05-11,L005,3879,39
2026-05-11,L007,3762,30
2026-05-11,L009,2861,15
2026-05-11,L011,1718,8
2026-05-12,L005,4188,36
2026-05-12,L007,3539,32
2026-05-12,L009,2087,28
2026-05-12,L011,2079,26
2026-05-13,L005,4285,39
2026-05-13,L007,3742,34
2026-05-13,L009,2560,31
2026-05-13,L011,2149,23
2026-05-14,L005,4177,46
2026-05-14,L007,3430,42
2026-05-14,L009,2389,8
2026-05-14,L011,2132,12
2026-05-15,L005,4410,31
2026-05-15,L007,3488,13
2026-05-15,L009,2286,5
2026-05-15,L011,1704,20
