grievance_id,pilgrim_id,location_id,grievance_type,closure_status
F0001,P0315,L005,Food,Closed
F0002,P0191,L010,Food,Closed
F0003,P0460,L010,Food,Open
F0004,P0094,L009,Food,Open
F0006,P0270,L007,Cleanliness,Closed
F0007,P0017,L009,Food,Closed
F0009,P0358,L009,Delay,Closed
F0010,P0353,L005,Navigation,Open
F0011,P0108,L007,Delay,Open
F0012,P0186,L010,Crowd,Closed
F0013,P0281,L004,Delay,Closed
F0014,P0242,L010,Delay,Closed
F0015,P0095,L006,Crowd,Closed
F0016,P0215,L005,Food,Closed
F0017,P0144,L006,Cleanliness,Open
F0019,P0370,L004,Cleanliness,Closed
F0020,P0222,L007,Crowd,Closed
F0022,P0091,L007,Crowd,Closed
F0023,P0458,L009,Food,Closed
F0024,P0154,L004,Food,Open
F0025,P0051,L009,Crowd,Open
F0026,P0417,L004,Navigation,Closed
F0027,P0050,L006,Delay,Closed
F0028,P0185,L005,Delay,Open
F0029,P0011,L007,Delay,Open
F0030,P0445,L010,Cleanliness,Open
F0031,P0295,L009,Delay,Closed
F0032,P0182,L005,Navigation,Open
F0033,P0229,L007,Cleanliness,Closed
F0034,P0147,L006,Crowd,Closed
F0035,P0328,L005,Navigation,Closed
F0037,P0041,L009,Crowd,Open
F0038,P0161,L005,Navigation,Closed
F0039,P0137,L010,Delay,Open
F0040,P0455,L006,Navigation,Closed
F0041,P0301,L009,Food,Closed
F0042,P0086,L009,Crowd,Closed
F0043,P0373,L011,Navigation,Closed
F0044,P0359,L007,Crowd,Closed
F0049,P0336,L007,Crowd,Closed
F0050,P0127,L004,Navigation,Closed
F0052,P0018,L005,Food,Closed
F0053,P0240,L009,Cleanliness,Closed
F0054,P0228,L009,Cleanliness,Closed
F0055,P0306,L006,Cleanliness,Closed
F0056,P0328,L009,Delay,Closed
F0058,P0227,L004,Food,Closed
F0060,P0001,L009,Delay,Closed
F0061,P0147,L006,Navigation,Closed
F0062,P0473,L006,Delay,Closed
F0063,P0005,L007,Cleanliness,Open
F0064,P0119,L005,Crowd,Closed
F0065,P0211,L009,Food,Closed
F0066,P0128,L009,Food,Closed
F0067,P0113,L004,Food,Closed
F0068,P0321,L011,Delay,Closed
F0069,P0333,L009,Food,Open
F0070,P0097,L007,Crowd,Closed
F0071,P0149,L007,Cleanliness,Open
F0072,P0232,L004,Crowd,Open
F0074,P0497,L009,Crowd,Closed
F0075,P0498,L007,Delay,Closed
F0076,P0065,L006,Crowd,Closed
F0077,P0047,L009,Food,Closed
F0078,P0112,L005,Delay,Open
F0079,P0403,L006,Food,Closed
F0081,P0432,L009,Delay,Closed
F0082,P0398,L007,Cleanliness,Closed
F0083,P0241,L009,Delay,Closed
F0085,P0499,L011,Food,Closed
F0086,P0127,L005,Food,Closed
F0087,P0377,L007,Food,Open
F0088,P0200,L004,Crowd,Closed
F0089,P0323,L005,Delay,Closed
F0090,P0247,L004,Delay,Open
F0093,P0086,L004,Food,Open
F0095,P0298,L006,Delay,Closed
F0096,P0395,L007,Crowd,Closed
F0097,P0256,L007,Navigation,Open
F0098,P0031,L005,Navigation,Closed
F0099,P0079,L009,Crowd,Closed
F0100,P0250,L011,Cleanliness,Closed
F0101,P0404,L005,Navigation,Closed
F0102,P0099,L005,Delay,Closed
F0104,P0249,L006,Cleanliness,Closed
F0105,P0357,L006,Cleanliness,Closed
F0106,P0096,L009,Delay,Closed
F0107,P0375,L006,Cleanliness,Closed
F0109,P0272,L009,Delay,Open
F0110,P0420,L004,Food,Closed
F0111,P0001,L009,Navigation,Closed
F0112,P0095,L005,Cleanliness,Closed
F0113,P0123,L005,Navigation,Closed
F0114,P0496,L009,Crowd,Open
F0115,P0269,L006,Cleanliness,Closed
F0116,P0145,L005,Navigation,Closed
F0117,P0165,L007,Cleanliness,Closed
F0118,P0338,L007,Crowd,Closed
F0121,P0293,L007,Cleanliness,Closed
F0125,P0240,L005,Cleanliness,Closed
F0126,P0381,L007,Navigation,Closed
F0127,P0030,L010,Cleanliness,Open
F0130,P0372,L011,Crowd,Closed
F0131,P0099,L009,Cleanliness,Closed
F0132,P0321,L009,Navigation,Closed
F0133,P0055,L010,Navigation,Closed
F0134,P0235,L007,Crowd,Closed
F0135,P0406,L009,Cleanliness,Closed
F0136,P0173,L009,Delay,Closed
F0137,P0463,L005,Delay,Closed
F0138,P0212,L007,Cleanliness,Closed
F0139,P0124,L010,Food,Open
F0140,P0393,L009,Delay,Open
F0141,P0493,L006,Food,Closed
F0142,P0001,L005,Cleanliness,Closed
F0143,P0009,L009,Delay,Open
F0144,P0004,L004,Crowd,Closed
F0145,P0439,L005,Navigation,Closed
F0147,P0020,L006,Crowd,Closed
F0148,P0071,L004,Cleanliness,Closed
F0149,P0128,L011,Delay,Closed
F0150,P0048,L010,Cleanliness,Closed
F0151,P0470,L011,Navigation,Open
F0152,P0167,L006,Food,Closed
F0153,P0423,L010,Cleanliness,Closed
F0154,P0329,L004,Navigation,Closed
F0156,P0400,L005,Delay,Closed
F0158,P0446,L011,Navigation,Closed
F0159,P0399,L007,Delay,Open
F0160,P0269,L005,Cleanliness,Closed
F0161,P0290,L009,Cleanliness,Closed
F0163,P0345,L007,Cleanliness,Closed
F0164,P0295,L009,Crowd,Open
F0165,P0222,L004,Crowd,Closed
F0166,P0068,L005,Food,Closed
F0167,P0293,L005,Delay,Open
F0168,P0044,L007,Navigation,Closed
F0169,P0067,L009,Cleanliness,Closed
F0170,P0102,L006,Navigation,Closed
F0171,P0293,L011,Crowd,Closed
F0172,P0037,L004,Delay,Closed
F0174,P0344,L007,Delay,Closed
F0175,P0179,L011,Delay,Closed
F0176,P0305,L005,Crowd,Closed
F0177,P0180,L010,Cleanliness,Closed
F0178,P0075,L006,Crowd,Open
F0179,P0103,L005,Navigation,Open
F0180,P0437,L007,Navigation,Closed
F0181,P0028,L011,Delay,Closed
F0182,P0008,L005,Delay,Closed
F0183,P0231,L006,Delay,Closed
F0184,P0108,L009,Crowd,Closed
F0185,P0280,L009,Cleanliness,Open
F0186,P0248,L010,Navigation,Closed
F0187,P0358,L005,Cleanliness,Closed
F0188,P0464,L009,Delay,Closed
F0189,P0088,L005,Crowd,Closed
F0191,P0239,L005,Food,Closed
F0193,P0010,L004,Crowd,Closed
F0194,P0195,L009,Delay,Open
F0195,P0249,L010,Crowd,Closed
F0196,P0102,L009,Cleanliness,Closed
F0197,P0475,L005,Crowd,Closed
F0198,P0473,L009,Delay,Open
F0200,P0178,L005,Navigation,Closed
F0203,P0484,L009,Crowd,Open
F0204,P0078,L005,Navigation,Closed
F0205,P0071,L007,Cleanliness,Closed
F0206,P0492,L010,Food,Open
F0207,P0124,L010,Food,Closed
F0208,P0497,L004,Food,Open
F0209,P0278,L009,Navigation,Closed
F0210,P0071,L010,Crowd,Closed
F0211,P0159,L009,Food,Open
F0212,P0466,L009,Delay,Open
F0213,P0035,L009,Crowd,Closed
F0214,P0163,L009,Delay,Open
F0215,P0451,L007,Delay,Open
F0216,P0227,L004,Crowd,Closed
F0218,P0391,L010,Cleanliness,Closed
F0219,P0291,L010,Cleanliness,Closed
F0220,P0119,L011,Delay,Open
F0221,P0041,L006,Cleanliness,Closed
F0222,P0434,L010,Navigation,Open
F0223,P0333,L005,Food,Open
F0224,P0252,L006,Crowd,Closed
F0225,P0099,L011,Food,Closed
F0226,P0392,L005,Food,Open
F0228,P0091,L006,Navigation,Closed
F0229,P0167,L006,Food,Closed
F0230,P0208,L005,Navigation,Closed
F0231,P0161,L007,Cleanliness,Closed
F0233,P0450,L011,Navigation,Closed
F0234,P0021,L009,Cleanliness,Open
F0235,P0392,L005,Delay,Open
F0236,P0226,L007,Delay,Closed
F0237,P0237,L009,Delay,Closed
F0238,P0314,L005,Food,Closed
F0239,P0425,L006,Navigation,Closed
F0240,P0257,L007,Cleanliness,Closed
F0241,P0481,L009,Food,Closed
F0243,P0092,L006,Food,Closed
F0244,P0047,L004,Navigation,Closed
F0247,P0269,L007,Food,Closed
F0248,P0282,L007,Crowd,Open
F0249,P0468,L005,Crowd,Closed
F0250,P0445,L009,Navigation,Open
