issue_id,calendar_date,location_id,issue_type,severity,status
IS0001,2026-05-01,L009,Security,Low,Open
IS0002,2026-05-01,L012,Supply,Medium,Open
IS0003,2026-05-01,L008,Supply,High,Open
IS0004,2026-05-01,L002,Traffic,Low,InProgress
IS0005,2026-05-01,L011,Security,Medium,InProgress
IS0006,2026-05-01,L007,Cleanliness,Medium,InProgress
IS0007,2026-05-02,L001,Cleanliness,High,Open
IS0008,2026-05-02,L004,Supply,Medium,Resolved
IS0009,2026-05-02,L003,Traffic,High,InProgress
IS0010,2026-05-02,L005,Cleanliness,Medium,InProgress
IS0011,2026-05-02,L011,Traffic,Medium,Open
IS0012,2026-05-02,L002,Security,Low,InProgress
IS0013,2026-05-03,L006,Traffic,Low,Open
IS0014,2026-05-03,L005,Supply,High,InProgress
IS0015,2026-05-03,L003,Cleanliness,Medium,Open
IS0016,2026-05-03,L004,Security,Medium,InProgress
IS0017,2026-05-03,L011,Cleanliness,High,InProgress
IS0018,2026-05-03,L001,Security,High,Resolved
IS0019,2026-05-04,L006,Security,High,Open
IS0020,2026-05-04,L008,Security,Low,Open
IS0021,2026-05-04,L009,Crowd,High,Open
IS0022,2026-05-04,L005,Security,High,Open
IS0023,2026-05-04,L010,Medical,High,InProgress
IS0024,2026-05-04,L004,Cleanliness,High,InProgress
IS0025,2026-05-05,L006,Traffic,Medium,Open
IS0026,2026-05-05,L003,Crowd,High,Resolved
IS0027,2026-05-05,L009,Security,High,InProgress
IS0028,2026-05-05,L012,Traffic,High,Open
IS0029,2026-05-05,L001,Crowd,Medium,Open
IS0030,2026-05-05,L004,Crowd,Low,Resolved
IS0031,2026-05-06,L002,Traffic,Medium,Resolved
IS0032,2026-05-06,L008,Crowd,Medium,Resolved
IS0033,2026-05-06,L001,Crowd,Medium,Resolved
IS0034,2026-05-06,L003,Traffic,Low,Resolved
IS0035,2026-05-06,L005,Traffic,Low,InProgress
IS0036,2026-05-06,L012,Security,Medium,InProgress
IS0037,2026-05-07,L002,Crowd,High,InProgress
IS0038,2026-05-07,L012,Crowd,High,Resolved
IS0039,2026-05-07,L001,Medical,Medium,InProgress
IS0040,2026-05-07,L003,Supply,Low,InProgress
IS0041,2026-05-07,L009,Crowd,High,InProgress
IS0042,2026-05-07,L008,Traffic,Low,Open
IS0043,2026-05-08,L010,Supply,High,InProgress
IS0044,2026-05-08,L004,Traffic,High,InProgress
IS0045,2026-05-08,L002,Security,Medium,Resolved
IS0046,2026-05-08,L001,Crowd,Low,InProgress
IS0047,2026-05-08,L007,Crowd,High,Resolved
IS0048,2026-05-08,L011,Crowd,Low,InProgress
IS0049,2026-05-09,L012,Supply,High,Open
IS0050,2026-05-09,L006,Cleanliness,High,Open
IS0051,2026-05-09,L010,Cleanliness,High,Resolved
IS0052,2026-05-09,L009,Medical,Low,Resolved
IS0053,2026-05-09,L011,Security,High,Open
IS0054,2026-05-09,L002,Supply,High,InProgress
IS0055,2026-05-10,L007,Cleanliness,Medium,Resolved
IS0056,2026-05-10,L008,Medical,Low,InProgress
IS0057,2026-05-10,L009,Security,High,InProgress
IS0058,2026-05-10,L010,Cleanliness,Medium,Open
IS0059,2026-05-10,L002,Security,Low,Open
IS0060,2026-05-10,L011,Security,Low,Open
IS0061,2026-05-11,L006,Cleanliness,High,Resolved
IS0062,2026-05-11,L011,Crowd,High,Resolved
IS0063,2026-05-11,L010,Cleanliness,High,Open
IS0064,2026-05-11,L012,Supply,Medium,Open
IS0065,2026-05-11,L009,Traffic,High,Resolved
IS0066,2026-05-11,L001,Medical,Low,Open
IS0067,2026-05-12,L005,Crowd,Low,Resolved
IS0068,2026-05-12,L003,Medical,High,InProgress
IS0069,2026-05-12,L011,Security,Low,Open
IS0070,2026-05-12,L007,Cleanliness,High,Open
IS0071,2026-05-12,L004,Traffic,Low,InProgress
IS0072,2026-05-12,L001,Medical,Medium,Open
IS0073,2026-05-13,L001,Medical,Medium,Open
IS0074,2026-05-13,L002,Supply,Low,InProgress
IS0075,2026-05-13,L009,Crowd,Low,Open
IS0076,2026-05-13,L005,Crowd,Medium,Resolved
IS0077,2026-05-13,L011,Cleanliness,Medium,Resolved
IS0078,2026-05-13,L010,Security,High,Resolved
IS0079,2026-05-14,L011,Security,Low,Open
IS0080,2026-05-14,L006,Crowd,Medium,Open
IS0081,2026-05-14,L005,Medical,Medium,Open
IS0082,2026-05-14,L002,Security,Medium,Resolved
IS0083,2026-05-14,L001,Traffic,High,InProgress
IS0084,2026-05-14,L007,Security,High,InProgress
IS0085,2026-05-15,L001,Supply,Low,Resolved
IS0086,2026-05-15,L006,Traffic,High,Open
IS0087,2026-05-15,L009,Medical,High,Resolved
IS0088,2026-05-15,L008,Crowd,High,Resolved
IS0089,2026-05-15,L003,Crowd,Low,Open
IS0090,2026-05-15,L012,Security,Low,InProgress
