calendar_date,location_id,noise_db
2026-05-01,L005,65
2026-05-01,L007,68
2026-05-01,L009,59
2026-05-01,L011,62
2026-05-01,L004,52
2026-05-01,L006,54
2026-05-01,L008,63
2026-05-01,L010,61
2026-05-02,L005,67
2026-05-02,L007,68
2026-05-02,L009,60
2026-05-02,L011,56
2026-05-02,L004,46
2026-05-02,L006,55
2026-05-02,L008,47
2026-05-02,L010,56
2026-05-03,L005,65
2026-05-03,L007,59
2026-05-03,L009,57
2026-05-03,L011,66
2026-05-03,L004,52
2026-05-03,L006,57
2026-05-03,L008,60
2026-05-03,L010,57
2026-05-04,L005,72
2026-05-04,L007,59
2026-05-04,L009,58
2026-05-04,L011,60
2026-05-04,L004,60
2026-05-04,L006,50
2026-05-04,L008,52
2026-05-04,L010,57
2026-05-05,L005,66
2026-05-05,L007,62
2026-05-05,L009,53
2026-05-05,L011,59
2026-05-05,L004,59
2026-05-05,L006,54
2026-05-05,L008,58
2026-05-05,L010,59
2026-05-06,L005,67
2026-05-06,L007,66
2026-05-06,L009,57
2026-05-06,L011,60
2026-05-06,L004,54
2026-05-06,L006,66
2026-05-06,L008,58
2026-05-06,L010,59
2026-05-07,L005,68
2026-05-07,L007,58
2026-05-07,L009,56
2026-05-07,L011,51
2026-05-07,L004,62
2026-05-07,L006,53
2026-05-07,L008,51
2026-05-07,L010,56
2026-05-08,L005,67
2026-05-08,L007,64
2026-05-08,L009,57
2026-05-08,L011,58
2026-05-08,L004,47
2026-05-08,L006,54
2026-05-08,L008,54
2026-05-08,L010,58
2026-05-09,L005,65
2026-05-09,L007,60
2026-05-09,L009,65
2026-05-09,L011,51
2026-05-09,L004,48
2026-05-09,L006,50
2026-05-09,L008,59
2026-05-09,L010,57
2026-05-10,L005,66
2026-05-10,L007,61
2026-05-10,L009,54
2026-05-10,L011,59
2026-05-10,L004,51
2026-05-10,L006,51
2026-05-10,L008,52
2026-05-10,L010,53
2026-05-11,L005,58
2026-05-11,L007,61
2026-05-11,L009,55
2026-05-11,L011,51
2026-05-11,L004,58
2026-05-11,L006,58
2026-05-11,L008,52
2026-05-11,L010,56
2026-05-12,L005,61
2026-05-12,L007,61
2026-05-12,L009,58
2026-05-12,L011,51
2026-05-12,L004,52
2026-05-12,L006,49
2026-05-12,L008,46
2026-05-12,L010,47
2026-05-13,L005,67
2026-05-13,L007,60
2026-05-13,L009,60
2026-05-13,L011,63
2026-05-13,L004,59
2026-05-13,L006,50
2026-05-13,L008,51
2026-05-13,L010,61
2026-05-14,L005,62
2026-05-14,L007,65
2026-05-14,L009,60
2026-05-14,L011,57
2026-05-14,L004,56
2026-05-14,L006,54
2026-05-14,L008,59
2026-05-14,L010,60
2026-05-15,L005,62
2026-05-15,L007,66
2026-05-15,L009,57
2026-05-15,L011,56
2026-05-15,L004,55
2026-05-15,L006,56
2026-05-15,L008,60
2026-05-15,L010,67
