calendar_date,accommodation_id,location_id,total_rooms,occupied_rooms,occupancy_rate
2026-05-01,A001,L004,120,65,0.54
2026-05-02,A001,L004,120,99,0.82
2026-05-03,A001,L004,120,95,0.79
2026-05-04,A001,L004,120,81,0.68
2026-05-05,A001,L004,120,74,0.62
2026-05-06,A001,L004,120,59,0.49
2026-05-07,A001,L004,120,55,0.46
2026-05-08,A001,L004,120,64,0.53
2026-05-09,A001,L004,120,83,0.69
2026-05-10,A001,L004,120,87,0.72
2026-05-11,A001,L004,120,80,0.67
2026-05-12,A001,L004,120,71,0.59
2026-05-13,A001,L004,120,57,0.47
2026-05-14,A001,L004,120,76,0.63
2026-05-15,A001,L004,120,74,0.62
2026-05-01,A002,L005,200,117,0.58
2026-05-02,A002,L005,200,131,0.66
2026-05-03,A002,L005,200,134,0.67
2026-05-04,A002,L005,200,108,0.54
2026-05-05,A002,L005,200,123,0.61
2026-05-06,A002,L005,200,83,0.41
2026-05-07,A002,L005,200,103,0.52
2026-05-08,A002,L005,200,113,0.56
2026-05-09,A002,L005,200,135,0.68
2026-05-10,A002,L005,200,132,0.66
2026-05-11,A002,L005,200,118,0.59
2026-05-12,A002,L005,200,98,0.49
2026-05-13,A002,L005,200,103,0.52
2026-05-14,A002,L005,200,114,0.57
2026-05-15,A002,L005,200,107,0.54
2026-05-01,A003,L007,90,64,0.71
2026-05-02,A003,L007,90,84,0.93
2026-05-03,A003,L007,90,62,0.69
2026-05-04,A003,L007,90,76,0.84
2026-05-05,A003,L007,90,63,0.7
2026-05-06,A003,L007,90,65,0.72
2026-05-07,A003,L007,90,53,0.59
2026-05-08,A003,L007,90,76,0.84
2026-05-09,A003,L007,90,77,0.86
2026-05-10,A003,L007,90,42,0.47
2026-05-11,A003,L007,90,57,0.63
2026-05-12,A003,L007,90,71,0.79
2026-05-13,A003,L007,90,63,0.7
2026-05-14,A003,L007,90,84,0.93
2026-05-15,A003,L007,90,84,0.93
2026-05-01,A004,L006,110,60,0.55
2026-05-02,A004,L006,110,66,0.6
2026-05-03,A004,L006,110,95,0.86
2026-05-04,A004,L006,110,61,0.55
2026-05-05,A004,L006,110,60,0.55
2026-05-06,A004,L006,110,52,0.47
2026-05-07,A004,L006,110,51,0.46
2026-05-08,A004,L006,110,52,0.47
2026-05-09,A004,L006,110,63,0.57
2026-05-10,A004,L006,110,52,0.47
2026-05-11,A004,L006,110,41,0.37
2026-05-12,A004,L006,110,60,0.55
2026-05-13,A004,L006,110,56,0.51
2026-05-14,A004,L006,110,63,0.57
2026-05-15,A004,L006,110,37,0.34
2026-05-01,A005,L009,60,38,0.63
2026-05-02,A005,L009,60,48,0.8
2026-05-03,A005,L009,60,42,0.7
2026-05-04,A005,L009,60,52,0.87
2026-05-05,A005,L009,60,60,1.0
2026-05-06,A005,L009,60,31,0.52
2026-05-07,A005,L009,60,18,0.3
2026-05-08,A005,L009,60,43,0.72
2026-05-09,A005,L009,60,27,0.45
2026-05-10,A005,L009,60,40,0.67
2026-05-11,A005,L009,60,59,0.98
2026-05-12,A005,L009,60,36,0.6
2026-05-13,A005,L009,60,14,0.23
2026-05-14,A005,L009,60,37,0.62
2026-05-15,A005,L009,60,38,0.63
2026-05-01,A006,L010,140,72,0.51
2026-05-02,A006,L010,140,88,0.63
2026-05-03,A006,L010,140,73,0.52
2026-05-04,A006,L010,140,73,0.52
2026-05-05,A006,L010,140,83,0.59
2026-05-06,A006,L010,140,86,0.61
2026-05-07,A006,L010,140,67,0.48
2026-05-08,A006,L010,140,61,0.44
2026-05-09,A006,L010,140,85,0.61
2026-05-10,A006,L010,140,84,0.6
2026-05-11,A006,L010,140,68,0.49
2026-05-12,A006,L010,140,76,0.54
2026-05-13,A006,L010,140,90,0.64
2026-05-14,A006,L010,140,86,0.61
2026-05-15,A006,L010,140,67,0.48
