pilgrim_id,age,gender,state,group_size,yatra_start_date,yatra_type
P0001,53,F,DL,6,2026-05-05,Badrinath
P0002,43,F,KA,6,2026-05-07,Do Dham
P0003,56,M,MH,1,2026-05-15,Char Dham
P0004,70,M,KA,1,2026-05-14,Gangotri
P0005,42,M,PB,2,2026-05-01,Gangotri
P0006,42,F,UP,3,2026-05-04,Char Dham
P0007,71,M,MH,3,2026-05-13,Do Dham
P0008,58,F,WB,6,2026-05-03,Badrinath
P0009,38,M,DL,4,2026-05-01,Badrinath
P0010,54,F,PB,6,2026-05-14,Char Dham
P0011,38,M,UK,2,2026-05-13,Char Dham
P0012,38,M,PB,1,2026-05-14,Yamunotri
P0013,49,M,RJ,4,2026-05-06,Gangotri
P0014,18,M,RJ,1,2026-05-11,Badrinath
P0015,18,F,GJ,3,2026-05-14,Kedarnath
P0016,37,F,GJ,6,2026-05-09,Yamunotri
P0017,29,F,UP,1,2026-05-15,Gangotri
P0018,51,M,WB,3,2026-05-01,Kedarnath
P0019,31,F,GJ,6,2026-05-13,Gangotri
P0020,23,F,WB,5,2026-05-02,Yamunotri
P0021,69,M,UK,1,2026-05-12,Yamunotri
P0022,42,M,KA,5,2026-05-11,Char Dham
P0023,47,M,GJ,4,2026-05-02,Char Dham
P0024,23,F,WB,3,2026-05-11,Kedarnath
P0025,37,F,KA,3,2026-05-11,Yamunotri
P0026,47,F,PB,6,2026-05-05,Do Dham
P0027,27,M,RJ,4,2026-05-11,Yamunotri
P0028,52,M,WB,5,2026-05-05,Yamunotri
P0029,36,M,UK,3,2026-05-04,Yamunotri
P0030,41,F,HR,4,2026-05-08,Char Dham
P0031,36,M,KA,4,2026-05-13,Char Dham
P0032,75,M,MH,3,2026-05-09,Char Dham
P0033,45,F,MH,2,2026-05-11,Gangotri
P0034,29,M,RJ,2,2026-05-01,Kedarnath
P0035,59,M,HR,5,2026-05-14,Kedarnath
P0036,26,F,PB,6,2026-05-10,Badrinath
P0037,49,F,HR,4,2026-05-04,Badrinath
P0038,18,M,MH,4,2026-05-04,Badrinath
P0039,24,F,UP,5,2026-05-04,Kedarnath
P0040,49,F,DL,4,2026-05-11,Do Dham
P0041,57,F,HR,5,2026-05-14,Char Dham
P0042,48,F,KA,4,2026-05-15,Badrinath
P0043,44,F,HR,3,2026-05-13,Badrinath
P0044,41,F,KA,4,2026-05-11,Badrinath
P0045,22,F,HR,1,2026-05-12,Gangotri
P0046,34,M,UK,3,2026-05-06,Do Dham
P0047,38,M,DL,2,2026-05-04,Yamunotri
P0048,62,M,RJ,1,2026-05-07,Yamunotri
P0049,51,F,KA,4,2026-05-07,Kedarnath
P0050,18,M,PB,4,2026-05-15,Do Dham
P0051,51,M,WB,4,2026-05-08,Kedarnath
P0052,39,F,UK,4,2026-05-14,Yamunotri
P0053,35,M,HR,2,2026-05-05,Yamunotri
P0054,55,F,UP,4,2026-05-06,Char Dham
P0055,62,F,DL,4,2026-05-15,Badrinath
P0056,60,M,PB,5,2026-05-10,Char Dham
P0057,32,M,MH,6,2026-05-07,Badrinath
P0058,41,F,DL,1,2026-05-05,Yamunotri
P0059,51,F,RJ,4,2026-05-06,Gangotri
P0060,61,F,UK,4,2026-05-05,Kedarnath
P0061,38,F,UP,6,2026-05-09,Kedarnath
P0062,43,F,RJ,6,2026-05-02,Char Dham
P0063,28,M,UP,2,2026-05-04,Kedarnath
P0064,26,M,RJ,2,2026-05-08,Char Dham
P0065,59,M,WB,2,2026-05-08,Char Dham
P0066,67,F,GJ,2,2026-05-10,Do Dham
P0067,44,M,DL,3,2026-05-02,Do Dham
P0068,62,M,UK,5,2026-05-11,Yamunotri
P0069,51,F,RJ,1,2026-05-10,Char Dham
P0070,35,M,MH,6,2026-05-13,Gangotri
P0071,51,M,WB,1,2026-05-06,Do Dham
P0072,70,F,GJ,1,2026-05-09,Char Dham
P0073,45,F,UP,4,2026-05-14,Yamunotri
P0074,71,M,PB,3,2026-05-11,Yamunotri
