calendar_date,route_id,vehicle_count,avg_travel_hours
2026-05-01,R001,281,6.97
2026-05-01,R002,169,0.61
2026-05-01,R003,271,5.27
2026-05-01,R004,185,2.17
2026-05-01,R005,298,4.44
2026-05-01,R006,130,2.35
2026-05-01,R007,332,5.9
2026-05-01,R008,153,0.32
2026-05-02,R001,371,5.43
2026-05-02,R002,223,0.78
2026-05-02,R003,365,7.9
2026-05-02,R004,206,2.08
2026-05-02,R005,390,4.22
2026-05-02,R006,194,3.05
2026-05-02,R007,346,5.7
2026-05-02,R008,188,0.2
2026-05-03,R001,334,7.01
2026-05-03,R002,281,0.67
2026-05-03,R003,315,8.56
2026-05-03,R004,239,1.8
2026-05-03,R005,352,4.51
2026-05-03,R006,222,3.78
2026-05-03,R007,372,7.3
2026-05-03,R008,219,0.24
2026-05-04,R001,264,5.56
2026-05-04,R002,193,0.78
2026-05-04,R003,283,6.26
2026-05-04,R004,163,3.0
2026-05-04,R005,262,4.0
2026-05-04,R006,186,2.96
2026-05-04,R007,295,5.49
2026-05-04,R008,176,0.22
2026-05-05,R001,277,4.32
2026-05-05,R002,166,0.72
2026-05-05,R003,265,7.74
2026-05-05,R004,160,1.94
2026-05-05,R005,230,4.26
2026-05-05,R006,190,2.9
2026-05-05,R007,293,6.59
2026-05-05,R008,157,0.41
2026-05-06,R001,252,6.04
2026-05-06,R002,189,0.78
2026-05-06,R003,297,7.45
2026-05-06,R004,192,2.73
2026-05-06,R005,279,5.04
2026-05-06,R006,172,2.54
2026-05-06,R007,275,8.04
2026-05-06,R008,179,0.22
2026-05-07,R001,314,5.39
2026-05-07,R002,172,1.19
2026-05-07,R003,278,6.31
2026-05-07,R004,176,3.53
2026-05-07,R005,274,3.74
2026-05-07,R006,172,2.77
2026-05-07,R007,290,5.01
2026-05-07,R008,203,0.4
2026-05-08,R001,293,5.26
2026-05-08,R002,189,1.23
2026-05-08,R003,282,7.7
2026-05-08,R004,156,2.27
2026-05-08,R005,245,5.68
2026-05-08,R006,205,2.86
2026-05-08,R007,333,6.29
2026-05-08,R008,219,0.27
2026-05-09,R001,400,5.69
2026-05-09,R002,200,0.8
2026-05-09,R003,379,6.13
2026-05-09,R004,262,2.21
2026-05-09,R005,361,3.48
2026-05-09,R006,231,2.19
2026-05-09,R007,340,6.51
2026-05-09,R008,197,0.29
2026-05-10,R001,371,6.27
2026-05-10,R002,265,0.74
2026-05-10,R003,354,8.09
2026-05-10,R004,239,1.6
2026-05-10,R005,356,3.33
2026-05-10,R006,234,2.25
2026-05-10,R007,344,6.52
2026-05-10,R008,234,0.47
2026-05-11,R001,276,5.78
2026-05-11,R002,190,1.02
2026-05-11,R003,323,7.08
2026-05-11,R004,135,3.13
2026-05-11,R005,265,4.37
2026-05-11,R006,210,2.32
2026-05-11,R007,259,5.79
2026-05-11,R008,203,0.27
2026-05-12,R001,262,7.67
2026-05-12,R002,195,1.07
2026-05-12,R003,274,7.68
2026-05-12,R004,218,2.3
2026-05-12,R005,288,4.56
2026-05-12,R006,166,3.11
2026-05-12,R007,321,6.16
2026-05-12,R008,187,0.23
2026-05-13,R001,258,6.5
2026-05-13,R002,159,0.61
2026-05-13,R003,219,6.01
2026-05-13,R004,192,3.17
2026-05-13,R005,287,5.45
2026-05-13,R006,209,2.91
2026-05-13,R007,254,5.74
2026-05-13,R008,170,0.34
2026-05-14,R001,290,6.47
2026-05-14,R002,231,0.81
2026-05-14,R003,263,7.5
2026-05-14,R004,220,2.38
2026-05-14,R005,302,4.52
2026-05-14,R006,161,3.48
2026-05-14,R007,302,6.35
2026-05-14,R008,212,0.27
2026-05-15,R001,263,6.37
2026-05-15,R002,190,0.56
2026-05-15,R003,278,6.33
2026-05-15,R004,204,1.61
2026-05-15,R005,284,4.69
2026-05-15,R006,212,3.03
2026-05-15,R007,226,6.29
2026-05-15,R008,167,0.29
