calendar_date,staff_id,location_id,shift_type
2026-05-01,S001,L002,Night
2026-05-01,S002,L010,Day
2026-05-01,S003,L004,Day
2026-05-01,S006,L002,Day
2026-05-01,S009,L010,Night
2026-05-01,S010,L008,Night
2026-05-01,S011,L002,Day
2026-05-01,S012,L007,Night
2026-05-01,S013,L007,Night
2026-05-01,S016,L004,Day
2026-05-01,S017,L009,Night
2026-05-01,S020,L008,Day
2026-05-01,S021,L011,Day
2026-05-01,S022,L004,Day
2026-05-01,S025,L007,Day
2026-05-01,S030,L006,Day
2026-05-01,S034,L002,Day
2026-05-01,S035,L004,Night
2026-05-01,S036,L010,Day
2026-05-01,S038,L002,Night
2026-05-01,S039,L010,Night
2026-05-01,S040,L004,Night
2026-05-01,S041,L005,Night
2026-05-01,S042,L011,Night
2026-05-01,S044,L008,Day
2026-05-01,S047,L002,Day
2026-05-01,S049,L009,Night
2026-05-01,S050,L011,Day
2026-05-01,S052,L002,Day
2026-05-01,S053,L002,Day
2026-05-01,S054,L009,Day
2026-05-01,S055,L005,Day
2026-05-01,S056,L006,Day
2026-05-01,S057,L011,Night
2026-05-01,S060,L001,Day
2026-05-02,S001,L002,Night
2026-05-02,S002,L010,Day
2026-05-02,S003,L004,Day
2026-05-02,S006,L002,Day
2026-05-02,S008,L009,Day
2026-05-02,S009,L010,Night
2026-05-02,S012,L007,Night
2026-05-02,S014,L001,Day
2026-05-02,S016,L004,Day
2026-05-02,S018,L007,Day
2026-05-02,S019,L008,Day
2026-05-02,S027,L007,Night
2026-05-02,S028,L004,Night
2026-05-02,S031,L010,Night
2026-05-02,S032,L009,Day
2026-05-02,S033,L009,Day
2026-05-02,S036,L010,Day
2026-05-02,S037,L010,Day
2026-05-02,S039,L010,Night
2026-05-02,S040,L004,Night
2026-05-02,S042,L011,Night
2026-05-02,S043,L006,Day
2026-05-02,S049,L009,Night
2026-05-02,S050,L011,Day
2026-05-02,S051,L009,Night
2026-05-02,S053,L002,Day
2026-05-02,S054,L009,Day
2026-05-02,S057,L011,Night
2026-05-02,S058,L008,Night
2026-05-02,S059,L002,Night
2026-05-02,S060,L001,Day
2026-05-03,S001,L002,Night
2026-05-03,S004,L012,Day
2026-05-03,S005,L002,Day
2026-05-03,S006,L002,Day
2026-05-03,S009,L010,Night
2026-05-03,S010,L008,Night
2026-05-03,S011,L002,Day
2026-05-03,S013,L007,Night
2026-05-03,S014,L001,Day
2026-05-03,S018,L007,Day
2026-05-03,S020,L008,Day
2026-05-03,S021,L011,Day
2026-05-03,S022,L004,Day
2026-05-03,S023,L008,Night
2026-05-03,S025,L007,Day
2026-05-03,S027,L007,Night
2026-05-03,S028,L004,Night
2026-05-03,S029,L001,Day
2026-05-03,S031,L010,Night
2026-05-03,S032,L009,Day
2026-05-03,S033,L009,Day
2026-05-03,S034,L002,Day
2026-05-03,S036,L010,Day
2026-05-03,S037,L010,Day
2026-05-03,S039,L010,Night
2026-05-03,S043,L006,Day
2026-05-03,S044,L008,Day
2026-05-03,S045,L009,Day
2026-05-03,S046,L005,Day
2026-05-03,S047,L002,Day
2026-05-03,S048,L005,Day
2026-05-03,S049,L009,Night
2026-05-03,S052,L002,Day
2026-05-03,S059,L002,Night
2026-05-03,S060,L001,Day
2026-05-04,S003,L004,Day
2026-05-04,S004,L012,Day
2026-05-04,S007,L011,Night
2026-05-04,S008,L009,Day
2026-05-04,S010,L008,Night
2026-05-04,S011,L002,Day
2026-05-04,S012,L007,Night
2026-05-04,S014,L001,Day
2026-05-04,S015,L007,Night
2026-05-04,S019,L008,Day
2026-05-04,S021,L011,Day
2026-05-04,S022,L004,Day
2026-05-04,S025,L007,Day
2026-05-04,S026,L005,Night
2026-05-04,S028,L004,Night
2026-05-04,S030,L006,Day
2026-05-04,S032,L009,Day
2026-05-04,S035,L004,Night
2026-05-04,S036,L010,Day
2026-05-04,S038,L002,Night
2026-05-04,S040,L004,Night
2026-05-04,S041,L005,Night
2026-05-04,S042,L011,Night
2026-05-04,S045,L009,Day
2026-05-04,S047,L002,Day
2026-05-04,S053,L002,Day
2026-05-04,S054,L009,Day
2026-05-04,S055,L005,Day
2026-05-04,S056,L006,Day
2026-05-04,S057,L011,Night
2026-05-04,S059,L002,Night
2026-05-05,S001,L002,Night
2026-05-05,S002,L010,Day
2026-05-05,S004,L012,Day
2026-05-05,S006,L002,Day
2026-05-05,S007,L011,Night
2026-05-05,S008,L009,Day
2026-05-05,S010,L008,Night
2026-05-05,S011,L002,Day
2026-05-05,S013,L007,Night
2026-05-05,S014,L001,Day
2026-05-05,S015,L007,Night
2026-05-05,S016,L004,Day
2026-05-05,S018,L007,Day
2026-05-05,S019,L008,Day
2026-05-05,S020,L008,Day
2026-05-05,S021,L011,Day
2026-05-05,S022,L004,Day
2026-05-05,S023,L008,Night
2026-05-05,S026,L005,Night
2026-05-05,S027,L007,Night
2026-05-05,S028,L004,Night
2026-05-05,S030,L006,Day
2026-05-05,S034,L002,Day
2026-05-05,S036,L010,Day
2026-05-05,S037,L010,Day
2026-05-05,S038,L002,Night
2026-05-05,S039,L010,Night
2026-05-05,S040,L004,Night
2026-05-05,S042,L011,Night
2026-05-05,S045,L009,Day
2026-05-05,S048,L005,Day
2026-05-05,S050,L011,Day
2026-05-05,S053,L002,Day
2026-05-05,S056,L006,Day
2026-05-05,S057,L011,Night
2026-05-05,S060,L001,Day
2026-05-06,S002,L010,Day
2026-05-06,S004,L012,Day
2026-05-06,S006,L002,Day
2026-05-06,S008,L009,Day
2026-05-06,S010,L008,Night
2026-05-06,S014,L001,Day
2026-05-06,S015,L007,Night
2026-05-06,S019,L008,Day
2026-05-06,S020,L008,Day
2026-05-06,S022,L004,Day
2026-05-06,S023,L008,Night
2026-05-06,S024,L007,Day
2026-05-06,S025,L007,Day
2026-05-06,S026,L005,Night
2026-05-06,S027,L007,Night
2026-05-06,S030,L006,Day
2026-05-06,S033,L009,Day
2026-05-06,S034,L002,Day
2026-05-06,S035,L004,Night
2026-05-06,S037,L010,Day
2026-05-06,S039,L010,Night
2026-05-06,S040,L004,Night
2026-05-06,S041,L005,Night
2026-05-06,S042,L011,Night
2026-05-06,S044,L008,Day
2026-05-06,S047,L002,Day
2026-05-06,S048,L005,Day
2026-05-06,S049,L009,Night
2026-05-06,S050,L011,Day
2026-05-06,S051,L009,Night
2026-05-06,S052,L002,Day
2026-05-06,S053,L002,Day
2026-05-06,S056,L006,Day
2026-05-06,S057,L011,Night
2026-05-06,S058,L008,Night
2026-05-06,S059,L002,Night
2026-05-07,S001,L002,Night
2026-05-07,S008,L009,Day
2026-05-07,S009,L010,Night
2026-05-07,S010,L008,Night
2026-05-07,S011,L002,Day
2026-05-07,S015,L007,Night
2026-05-07,S016,L004,Day
2026-05-07,S017,L009,Night
2026-05-07,S018,L007,Day
2026-05-07,S020,L008,Day
2026-05-07,S021,L011,Day
2026-05-07,S023,L008,Night
2026-05-07,S027,L007,Night
2026-05-07,S028,L004,Night
2026-05-07,S029,L001,Day
2026-05-07,S030,L006,Day
2026-05-07,S031,L010,Night
2026-05-07,S033,L009,Day
2026-05-07,S034,L002,Day
2026-05-07,S035,L004,Night
2026-05-07,S037,L010,Day
2026-05-07,S038,L002,Night
2026-05-07,S039,L010,Night
2026-05-07,S040,L004,Night
2026-05-07,S041,L005,Night
2026-05-07,S042,L011,Night
2026-05-07,S043,L006,Day
2026-05-07,S044,L008,Day
2026-05-07,S045,L009,Day
2026-05-07,S048,L005,Day
2026-05-07,S049,L009,Night
2026-05-07,S050,L011,Day
2026-05-07,S051,L009,Night
2026-05-07,S054,L009,Day
2026-05-07,S055,L005,Day
2026-05-07,S058,L008,Night
2026-05-08,S006,L002,Day
2026-05-08,S009,L010,Night
2026-05-08,S011,L002,Day
2026-05-08,S012,L007,Night
2026-05-08,S015,L007,Night
2026-05-08,S017,L009,Night
2026-05-08,S020,L008,Day
2026-05-08,S023,L008,Night
2026-05-08,S027,L007,Night
2026-05-08,S028,L004,Night
2026-05-08,S029,L001,Day
2026-05-08,S030,L006,Day
2026-05-08,S031,L010,Night
2026-05-08,S032,L009,Day
2026-05-08,S037,L010,Day
2026-05-08,S038,L002,Night
2026-05-08,S041,L005,Night
2026-05-08,S044,L008,Day
2026-05-08,S045,L009,Day
2026-05-08,S047,L002,Day
2026-05-08,S048,L005,Day
2026-05-08,S049,L009,Night
2026-05-08,S052,L002,Day
2026-05-08,S056,L006,Day
2026-05-08,S057,L011,Night
2026-05-08,S058,L008,Night
2026-05-08,S059,L002,Night
2026-05-09,S001,L002,Night
2026-05-09,S002,L010,Day
2026-05-09,S004,L012,Day
2026-05-09,S005,L002,Day
2026-05-09,S006,L002,Day
2026-05-09,S010,L008,Night
2026-05-09,S011,L002,Day
2026-05-09,S013,L007,Night
2026-05-09,S015,L007,Night
2026-05-09,S016,L004,Day
2026-05-09,S017,L009,Night
2026-05-09,S018,L007,Day
2026-05-09,S019,L008,Day
2026-05-09,S021,L011,Day
2026-05-09,S023,L008,Night
2026-05-09,S025,L007,Day
2026-05-09,S026,L005,Night
2026-05-09,S027,L007,Night
2026-05-09,S028,L004,Night
2026-05-09,S033,L009,Day
2026-05-09,S034,L002,Day
2026-05-09,S039,L010,Night
2026-05-09,S041,L005,Night
2026-05-09,S042,L011,Night
2026-05-09,S043,L006,Day
2026-05-09,S044,L008,Day
2026-05-09,S046,L005,Day
2026-05-09,S047,L002,Day
2026-05-09,S048,L005,Day
2026-05-09,S049,L009,Night
2026-05-09,S050,L011,Day
2026-05-09,S051,L009,Night
2026-05-09,S052,L002,Day
2026-05-09,S054,L009,Day
2026-05-09,S058,L008,Night
2026-05-09,S059,L002,Night
2026-05-10,S002,L010,Day
2026-05-10,S003,L004,Day
2026-05-10,S005,L002,Day
2026-05-10,S007,L011,Night
2026-05-10,S008,L009,Day
2026-05-10,S009,L010,Night
2026-05-10,S012,L007,Night
2026-05-10,S013,L007,Night
2026-05-10,S019,L008,Day
2026-05-10,S020,L008,Day
2026-05-10,S026,L005,Night
2026-05-10,S027,L007,Night
2026-05-10,S029,L001,Day
2026-05-10,S033,L009,Day
2026-05-10,S037,L010,Day
2026-05-10,S040,L004,Night
2026-05-10,S041,L005,Night
2026-05-10,S042,L011,Night
2026-05-10,S044,L008,Day
