staff_id,staff_name,role,base_location_id,shift_type
S001,Staff_001,medical_staff,L002,Night
S002,Staff_002,traffic_officer,L010,Day
S003,Staff_003,field_volunteer,L004,Day
S004,Staff_004,traffic_officer,L012,Day
S005,Staff_005,medical_staff,L002,Day
S006,Staff_006,logistics_coordinator,L002,Day
S007,Staff_007,logistics_coordinator,L011,Night
S008,Staff_008,medical_staff,L009,Day
S009,Staff_009,hospitality_manager,L010,Night
S010,Staff_010,medical_staff,L008,Night
S011,Staff_011,medical_staff,L002,Day
S012,Staff_012,hospitality_manager,L007,Night
S013,Staff_013,ops_manager,L007,Night
S014,Staff_014,hospitality_manager,L001,Day
S015,Staff_015,traffic_officer,L007,Night
S016,Staff_016,traffic_officer,L004,Day
S017,Staff_017,medical_staff,L009,Night
S018,Staff_018,medical_staff,L007,Day
S019,Staff_019,logistics_coordinator,L008,Day
S020,Staff_020,traffic_officer,L008,Day
S021,Staff_021,traffic_officer,L011,Day
S022,Staff_022,traffic_officer,L004,Day
S023,Staff_023,ops_manager,L008,Night
S024,Staff_024,medical_staff,L007,Day
S025,Staff_025,medical_staff,L007,Day
S026,Staff_026,ops_manager,L005,Night
S027,Staff_027,logistics_coordinator,L007,Night
S028,Staff_028,medical_staff,L004,Night
S029,Staff_029,medical_staff,L001,Day
S030,Staff_030,hospitality_manager,L006,Day
S031,Staff_031,traffic_officer,L010,Night
S032,Staff_032,field_volunteer,L009,Day
S033,Staff_033,traffic_officer,L009,Day
S034,Staff_034,medical_staff,L002,Day
S035,Staff_035,hospitality_manager,L004,Night
S036,Staff_036,traffic_officer,L010,Day
S037,Staff_037,field_volunteer,L010,Day
S038,Staff_038,field_volunteer,L002,Night
S039,Staff_039,hospitality_manager,L010,Night
S040,Staff_040,logistics_coordinator,L004,Night
S041,Staff_041,medical_staff,L005,Night
S042,Staff_042,medical_staff,L011,Night
S043,Staff_043,ops_manager,L006,Day
S044,Staff_044,traffic_officer,L008,Day
S045,Staff_045,traffic_officer,L009,Day
S046,Staff_046,field_volunteer,L005,Day
S047,Staff_047,logistics_coordinator,L002,Day
S048,Staff_048,logistics_coordinator,L005,Day
S049,Staff_049,ops_manager,L009,Night
S050,Staff_050,field_volunteer,L011,Day
S051,Staff_051,hospitality_manager,L009,Night
S052,Staff_052,hospitality_manager,L002,Day
S053,Staff_053,logistics_coordinator,L002,Day
S054,Staff_054,hospitality_manager,L009,Day
S055,Staff_055,logistics_coordinator,L005,Day
S056,Staff_056,hospitality_manager,L006,Day
S057,Staff_057,hospitality_manager,L011,Night
S058,Staff_058,field_volunteer,L008,Night
S059,Staff_059,traffic_officer,L002,Night
S060,Staff_060,logistics_coordinator,L001,Day
