transaction_id,calendar_date,vendor_id,payment_mode,amount_inr
TX00001,2026-05-01,V001,UPI,9679
TX00002,2026-05-01,V002,UPI,4635
TX00003,2026-05-01,V003,Card,3759
TX00004,2026-05-01,V004,Card,3324
TX00005,2026-05-01,V005,Card,1671
TX00006,2026-05-01,V006,Card,2726
TX00007,2026-05-01,V007,UPI,1419
TX00008,2026-05-01,V008,Cash,707
TX00009,2026-05-02,V001,Card,6312
TX00010,2026-05-02,V002,UPI,7380
TX00011,2026-05-02,V003,Card,2612
TX00012,2026-05-02,V004,Card,6966
TX00013,2026-05-02,V005,Card,920
TX00014,2026-05-02,V006,Card,2118
TX00015,2026-05-02,V007,Card,3119
TX00016,2026-05-02,V008,Cash,2063
TX00017,2026-05-03,V001,UPI,6451
TX00018,2026-05-03,V002,UPI,6413
TX00019,2026-05-03,V003,Card,3607
TX00020,2026-05-03,V004,Card,3532
TX00021,2026-05-03,V005,Cash,1050
TX00022,2026-05-03,V006,Card,334
TX00023,2026-05-03,V007,Cash,2478
TX00024,2026-05-03,V008,Cash,2068
TX00025,2026-05-04,V001,Card,4192
TX00026,2026-05-04,V002,Card,5230
TX00027,2026-05-04,V003,Cash,5299
TX00028,2026-05-04,V004,Card,1858
TX00029,2026-05-04,V005,Cash,4502
TX00030,2026-05-04,V006,Card,1755
TX00031,2026-05-04,V007,Cash,1280
TX00032,2026-05-04,V008,Cash,1216
TX00033,2026-05-05,V001,Cash,4395
TX00034,2026-05-05,V002,UPI,2971
TX00035,2026-05-05,V003,Cash,1545
TX00036,2026-05-05,V004,Cash,5102
TX00037,2026-05-05,V005,Cash,1512
TX00038,2026-05-05,V006,UPI,2481
TX00039,2026-05-05,V007,Card,1173
TX00040,2026-05-05,V008,Cash,1536
TX00041,2026-05-06,V001,Cash,6828
TX00042,2026-05-06,V002,UPI,3499
TX00043,2026-05-06,V003,UPI,5150
TX00044,2026-05-06,V004,UPI,1879
TX00045,2026-05-06,V005,UPI,1625
TX00046,2026-05-06,V006,Cash,1315
TX00047,2026-05-06,V007,Card,2803
TX00048,2026-05-06,V008,Card,1490
TX00049,2026-05-07,V001,Cash,2308
TX00050,2026-05-07,V002,UPI,5922
TX00051,2026-05-07,V003,UPI,3221
TX00052,2026-05-07,V004,Card,2354
TX00053,2026-05-07,V005,Cash,1566
TX00054,2026-05-07,V006,UPI,3460
TX00055,2026-05-07,V007,UPI,2763
TX00056,2026-05-07,V008,UPI,3652
TX00057,2026-05-08,V001,Cash,5704
TX00058,2026-05-08,V002,Card,1976
TX00059,2026-05-08,V003,UPI,4123
TX00060,2026-05-08,V004,UPI,4554
TX00061,2026-05-08,V005,Cash,2492
TX00062,2026-05-08,V006,Cash,4663
TX00063,2026-05-08,V007,UPI,2642
TX00064,2026-05-08,V008,UPI,1420
TX00065,2026-05-09,V001,Card,3083
TX00066,2026-05-09,V002,Card,2567
TX00067,2026-05-09,V003,Cash,4741
TX00068,2026-05-09,V004,Card,2831
TX00069,2026-05-09,V005,UPI,3916
TX00070,2026-05-09,V006,Cash,2296
TX00071,2026-05-09,V007,Card,1240
TX00072,2026-05-09,V008,Card,2690
TX00073,2026-05-10,V001,UPI,12096
TX00074,2026-05-10,V002,Card,3914
TX00075,2026-05-10,V003,Card,4776
TX00076,2026-05-10,V004,Cash,1945
TX00077,2026-05-10,V005,UPI,1661
TX00078,2026-05-10,V006,Cash,1943
TX00079,2026-05-10,V007,UPI,3048
TX00080,2026-05-10,V008,UPI,1360
TX00081,2026-05-11,V001,Cash,4197
TX00082,2026-05-11,V002,UPI,3463
TX00083,2026-05-11,V003,Card,3082
TX00084,2026-05-11,V004,UPI,2391
TX00085,2026-05-11,V005,Card,1135
TX00086,2026-05-11,V006,Card,2224
TX00087,2026-05-11,V007,Cash,1022
TX00088,2026-05-11,V008,Cash,1406
TX00089,2026-05-12,V001,UPI,2865
TX00090,2026-05-12,V002,Card,2614
TX00091,2026-05-12,V003,Cash,2526
TX00092,2026-05-12,V004,Cash,1793
TX00093,2026-05-12,V005,UPI,3934
TX00094,2026-05-12,V006,UPI,950
TX00095,2026-05-12,V007,UPI,2898
TX00096,2026-05-12,V008,Card,1517
TX00097,2026-05-13,V001,Cash,10158
TX00098,2026-05-13,V002,UPI,2314
TX00099,2026-05-13,V003,Cash,2316
TX00100,2026-05-13,V004,UPI,2923
TX00101,2026-05-13,V005,Cash,3414
TX00102,2026-05-13,V006,UPI,1623
TX00103,2026-05-13,V007,Cash,1999
TX00104,2026-05-13,V008,Cash,1416
TX00105,2026-05-14,V001,Card,6050
TX00106,2026-05-14,V002,Cash,3269
TX00107,2026-05-14,V003,Card,2841
TX00108,2026-05-14,V004,Card,1531
TX00109,2026-05-14,V005,Card,2662
TX00110,2026-05-14,V006,Card,5525
TX00111,2026-05-14,V007,Card,1978
TX00112,2026-05-14,V008,UPI,3732
TX00113,2026-05-15,V001,UPI,5926
TX00114,2026-05-15,V002,Card,7451
TX00115,2026-05-15,V003,UPI,3201
TX00116,2026-05-15,V004,Card,1280
TX00117,2026-05-15,V005,Cash,1490
TX00118,2026-05-15,V006,UPI,1543
TX00119,2026-05-15,V007,Card,1647
TX00120,2026-05-15,V008,UPI,1315
