calendar_date,vendor_id,location_id,daily_sales_inr,pilgrims_served
2026-05-01,V001,L005,183919,2074
2026-05-01,V002,L007,143703,1841
2026-05-01,V003,L009,63917,679
2026-05-01,V004,L011,93081,1025
2026-05-01,V005,L006,38446,385
2026-05-01,V006,L001,40898,630
2026-05-01,V007,L002,38316,436
2026-05-01,V008,L004,17678,156
2026-05-02,V001,L005,183067,2096
2026-05-02,V002,L007,154998,2042
2026-05-02,V003,L009,60076,573
2026-05-02,V004,L011,104494,1574
2026-05-02,V005,L006,27628,454
2026-05-02,V006,L001,72029,642
2026-05-02,V007,L002,81117,835
2026-05-02,V008,L004,82536,813
2026-05-03,V001,L005,135473,2006
2026-05-03,V002,L007,96201,1578
2026-05-03,V003,L009,79361,802
2026-05-03,V004,L011,74178,760
2026-05-03,V005,L006,29418,335
2026-05-03,V006,L001,12363,108
2026-05-03,V007,L002,81774,926
2026-05-03,V008,L004,33095,351
2026-05-04,V001,L005,117383,1774
2026-05-04,V002,L007,172591,1556
2026-05-04,V003,L009,84796,909
2026-05-04,V004,L011,70620,792
2026-05-04,V005,L006,99054,866
2026-05-04,V006,L001,43891,717
2026-05-04,V007,L002,38429,338
2026-05-04,V008,L004,35277,303
2026-05-05,V001,L005,167017,2726
2026-05-05,V002,L007,92105,1142
2026-05-05,V003,L009,52553,458
2026-05-05,V004,L011,96948,942
2026-05-05,V005,L006,54459,652
2026-05-05,V006,L001,84364,782
2026-05-05,V007,L002,35206,335
2026-05-05,V008,L004,27652,398
2026-05-06,V001,L005,163879,1405
2026-05-06,V002,L007,90976,973
2026-05-06,V003,L009,103004,1265
2026-05-06,V004,L011,75177,661
2026-05-06,V005,L006,29264,437
2026-05-06,V006,L001,52607,697
2026-05-06,V007,L002,64483,607
2026-05-06,V008,L004,53658,477
2026-05-07,V001,L005,92327,1464
2026-05-07,V002,L007,106603,964
2026-05-07,V003,L009,103092,1067
2026-05-07,V004,L011,42387,639
2026-05-07,V005,L006,57948,834
2026-05-07,V006,L001,65756,731
2026-05-07,V007,L002,58036,531
2026-05-07,V008,L004,80358,757
2026-05-08,V001,L005,176825,1999
2026-05-08,V002,L007,77070,1014
2026-05-08,V003,L009,78342,801
2026-05-08,V004,L011,86537,942
2026-05-08,V005,L006,77274,671
2026-05-08,V006,L001,88608,759
2026-05-08,V007,L002,44916,414
2026-05-08,V008,L004,39772,334
2026-05-09,V001,L005,107908,1022
2026-05-09,V002,L007,95009,1005
2026-05-09,V003,L009,132765,1179
2026-05-09,V004,L011,67965,673
2026-05-09,V005,L006,90068,786
2026-05-09,V006,L001,66590,967
2026-05-09,V007,L002,43420,468
2026-05-09,V008,L004,72640,641
2026-05-10,V001,L005,193545,1714
2026-05-10,V002,L007,148745,1783
2026-05-10,V003,L009,114636,1256
2026-05-10,V004,L011,60309,664
2026-05-10,V005,L006,66476,955
2026-05-10,V006,L001,73857,991
2026-05-10,V007,L002,79273,1189
2026-05-10,V008,L004,53053,652
2026-05-11,V001,L005,138525,2052
2026-05-11,V002,L007,138551,1589
2026-05-11,V003,L009,107870,1136
2026-05-11,V004,L011,62190,561
2026-05-11,V005,L006,37468,349
2026-05-11,V006,L001,48935,592
2026-05-11,V007,L002,29665,312
2026-05-11,V008,L004,23909,279
2026-05-12,V001,L005,85971,1005
2026-05-12,V002,L007,81043,1252
2026-05-12,V003,L009,58109,621
2026-05-12,V004,L011,66366,675
2026-05-12,V005,L006,74746,879
2026-05-12,V006,L001,35154,342
2026-05-12,V007,L002,84053,1252
2026-05-12,V008,L004,39446,568
2026-05-13,V001,L005,182859,2724
2026-05-13,V002,L007,71758,760
2026-05-13,V003,L009,55592,675
2026-05-13,V004,L011,55547,900
2026-05-13,V005,L006,81937,1302
2026-05-13,V006,L001,29221,279
2026-05-13,V007,L002,59993,534
2026-05-13,V008,L004,56643,650
2026-05-14,V001,L005,114964,1044
2026-05-14,V002,L007,127511,1412
2026-05-14,V003,L009,71042,817
2026-05-14,V004,L011,42876,439
2026-05-14,V005,L006,42605,508
2026-05-14,V006,L001,93930,901
2026-05-14,V007,L002,47494,503
2026-05-14,V008,L004,78379,794
2026-05-15,V001,L005,195558,2113
2026-05-15,V002,L007,111776,1064
2026-05-15,V003,L009,48022,413
2026-05-15,V004,L011,42252,584
2026-05-15,V005,L006,40238,437
2026-05-15,V006,L001,38583,345
2026-05-15,V007,L002,41193,670
2026-05-15,V008,L004,42109,629
