calendar_date,warehouse_location_id,item_id,stock_qty
2026-05-01,L001,IT001,690
2026-05-01,L001,IT002,673
2026-05-01,L001,IT003,477
2026-05-01,L001,IT004,570
2026-05-01,L001,IT005,595
2026-05-01,L001,IT006,583
2026-05-01,L002,IT001,640
2026-05-01,L002,IT002,771
2026-05-01,L002,IT003,729
2026-05-01,L002,IT004,442
2026-05-01,L002,IT005,674
2026-05-01,L002,IT006,759
2026-05-01,L006,IT001,646
2026-05-01,L006,IT002,730
2026-05-01,L006,IT003,841
2026-05-01,L006,IT004,722
2026-05-01,L006,IT005,629
2026-05-01,L006,IT006,725
2026-05-01,L008,IT001,617
2026-05-01,L008,IT002,602
2026-05-01,L008,IT003,557
2026-05-01,L008,IT004,787
2026-05-01,L008,IT005,501
2026-05-01,L008,IT006,783
2026-05-02,L001,IT001,559
2026-05-02,L001,IT002,641
2026-05-02,L001,IT003,786
2026-05-02,L001,IT004,702
2026-05-02,L001,IT005,649
2026-05-02,L001,IT006,655
2026-05-02,L002,IT001,605
2026-05-02,L002,IT002,666
2026-05-02,L002,IT003,296
2026-05-02,L002,IT004,564
2026-05-02,L002,IT005,628
2026-05-02,L002,IT006,461
2026-05-02,L006,IT001,646
2026-05-02,L006,IT002,575
2026-05-02,L006,IT003,810
2026-05-02,L006,IT004,788
2026-05-02,L006,IT005,544
2026-05-02,L006,IT006,581
2026-05-02,L008,IT001,591
2026-05-02,L008,IT002,545
2026-05-02,L008,IT003,623
2026-05-02,L008,IT004,509
2026-05-02,L008,IT005,464
2026-05-02,L008,IT006,674
2026-05-03,L001,IT001,541
2026-05-03,L001,IT002,557
2026-05-03,L001,IT003,507
2026-05-03,L001,IT004,444
2026-05-03,L001,IT005,545
2026-05-03,L001,IT006,621
2026-05-03,L002,IT001,671
2026-05-03,L002,IT002,533
2026-05-03,L002,IT003,550
2026-05-03,L002,IT004,488
2026-05-03,L002,IT005,596
2026-05-03,L002,IT006,498
2026-05-03,L006,IT001,668
2026-05-03,L006,IT002,385
2026-05-03,L006,IT003,556
2026-05-03,L006,IT004,636
2026-05-03,L006,IT005,622
2026-05-03,L006,IT006,923
2026-05-03,L008,IT001,641
2026-05-03,L008,IT002,479
2026-05-03,L008,IT003,588
2026-05-03,L008,IT004,386
2026-05-03,L008,IT005,590
2026-05-03,L008,IT006,500
2026-05-04,L001,IT001,787
2026-05-04,L001,IT002,567
2026-05-04,L001,IT003,570
2026-05-04,L001,IT004,564
2026-05-04,L001,IT005,828
2026-05-04,L001,IT006,795
2026-05-04,L002,IT001,866
2026-05-04,L002,IT002,580
2026-05-04,L002,IT003,635
2026-05-04,L002,IT004,418
2026-05-04,L002,IT005,777
