calendar_date,location_id,water_ph,compliance_status
2026-05-01,L005,7.08,Compliant
2026-05-01,L007,6.88,Compliant
2026-05-01,L009,7.22,Watch
2026-05-01,L011,6.55,Watch
2026-05-01,L004,7.51,Compliant
2026-05-01,L006,7.62,Compliant
2026-05-01,L008,7.56,Compliant
2026-05-01,L010,7.5,Compliant
2026-05-02,L005,7.06,Compliant
2026-05-02,L007,6.83,Watch
2026-05-02,L009,7.47,Compliant
2026-05-02,L011,6.71,Watch
2026-05-02,L004,7.09,Compliant
2026-05-02,L006,6.78,Watch
2026-05-02,L008,7.4,Compliant
2026-05-02,L010,7.37,Compliant
2026-05-03,L005,7.43,Watch
2026-05-03,L007,7.17,Watch
2026-05-03,L009,6.83,Compliant
2026-05-03,L011,6.79,Watch
2026-05-03,L004,6.87,Compliant
2026-05-03,L006,7.25,Compliant
2026-05-03,L008,7.39,Watch
2026-05-03,L010,7.04,Watch
2026-05-04,L005,7.1,Watch
2026-05-04,L007,7.37,Compliant
2026-05-04,L009,7.13,Watch
2026-05-04,L011,7.28,Compliant
2026-05-04,L004,7.32,Compliant
2026-05-04,L006,7.11,Compliant
2026-05-04,L008,7.29,Watch
2026-05-04,L010,6.94,Compliant
2026-05-05,L005,7.17,Watch
2026-05-05,L007,7.21,Compliant
2026-05-05,L009,7.09,Compliant
2026-05-05,L011,7.15,Compliant
2026-05-05,L004,7.24,Watch
2026-05-05,L006,7.19,Compliant
2026-05-05,L008,7.65,Compliant
2026-05-05,L010,7.18,Watch
2026-05-06,L005,7.25,Watch
2026-05-06,L007,7.32,Compliant
2026-05-06,L009,7.12,Watch
2026-05-06,L011,7.08,Watch
2026-05-06,L004,7.41,Watch
2026-05-06,L006,7.17,Compliant
2026-05-06,L008,7.31,Compliant
2026-05-06,L010,7.02,Watch
2026-05-07,L005,7.04,Compliant
2026-05-07,L007,6.89,Compliant
2026-05-07,L009,7.44,Compliant
2026-05-07,L011,6.77,Compliant
2026-05-07,L004,7.06,Compliant
2026-05-07,L006,7.07,Watch
2026-05-07,L008,6.65,Watch
2026-05-07,L010,7.37,Compliant
2026-05-08,L005,6.89,Compliant
2026-05-08,L007,7.07,Watch
2026-05-08,L009,6.76,Compliant
2026-05-08,L011,7.14,Watch
2026-05-08,L004,7.14,Compliant
2026-05-08,L006,7.18,Compliant
2026-05-08,L008,6.61,Watch
2026-05-08,L010,7.09,Watch
2026-05-09,L005,7.31,Compliant
2026-05-09,L007,7.43,Watch
2026-05-09,L009,6.98,Compliant
2026-05-09,L011,7.22,Compliant
2026-05-09,L004,7.08,Compliant
2026-05-09,L006,6.81,Compliant
2026-05-09,L008,6.88,Watch
2026-05-09,L010,7.0,Compliant
2026-05-10,L005,7.02,Compliant
2026-05-10,L007,6.85,Watch
2026-05-10,L009,7.14,Compliant
2026-05-10,L011,6.61,Compliant
2026-05-10,L004,7.21,Watch
2026-05-10,L006,6.65,Watch
2026-05-10,L008,6.8,Compliant
2026-05-10,L010,7.15,Compliant
2026-05-11,L005,7.22,Compliant
2026-05-11,L007,6.97,Compliant
2026-05-11,L009,7.0,Watch
2026-05-11,L011,7.02,Watch
2026-05-11,L004,6.76,Compliant
2026-05-11,L006,6.98,Compliant
2026-05-11,L008,7.22,Compliant
2026-05-11,L010,7.06,Compliant
2026-05-12,L005,7.05,Compliant
2026-05-12,L007,7.05,Watch
2026-05-12,L009,7.51,Compliant
2026-05-12,L011,7.14,Compliant
2026-05-12,L004,7.4,Compliant
2026-05-12,L006,7.05,Compliant
2026-05-12,L008,6.88,Watch
2026-05-12,L010,7.06,Watch
2026-05-13,L005,7.25,Compliant
2026-05-13,L007,7.35,Compliant
2026-05-13,L009,7.19,Compliant
2026-05-13,L011,6.86,Watch
2026-05-13,L004,6.75,Compliant
2026-05-13,L006,7.15,Watch
2026-05-13,L008,7.08,Compliant
2026-05-13,L010,7.09,Compliant
2026-05-14,L005,6.7,Compliant
2026-05-14,L007,7.22,Watch
2026-05-14,L009,7.48,Compliant
2026-05-14,L011,7.2,Watch
2026-05-14,L004,6.91,Compliant
2026-05-14,L006,6.5,Watch
2026-05-14,L008,7.21,Watch
2026-05-14,L010,6.89,Compliant
2026-05-15,L005,6.95,Watch
2026-05-15,L007,7.15,Compliant
2026-05-15,L009,7.29,Watch
2026-05-15,L011,6.63,Compliant
2026-05-15,L004,6.82,Watch
2026-05-15,L006,7.15,Compliant
2026-05-15,L008,6.84,Compliant
2026-05-15,L010,6.82,Compliant
