calendar_date,location_id,water_stock_units,demand_level
2026-05-01,L005,966,High
2026-05-01,L007,1035,Medium
2026-05-01,L009,602,Low
2026-05-01,L011,472,Low
2026-05-01,L004,437,Low
2026-05-01,L006,608,Low
2026-05-01,L008,751,Medium
2026-05-01,L010,543,Low
2026-05-02,L005,1255,High
2026-05-02,L007,1157,High
2026-05-02,L009,597,Low
2026-05-02,L011,579,Medium
2026-05-02,L004,786,Medium
2026-05-02,L006,483,Low
2026-05-02,L008,621,Low
2026-05-02,L010,835,Medium
2026-05-03,L005,1223,High
2026-05-03,L007,1141,High
2026-05-03,L009,864,Medium
2026-05-03,L011,611,Medium
2026-05-03,L004,476,Low
2026-05-03,L006,790,Medium
2026-05-03,L008,739,Medium
2026-05-03,L010,498,Low
2026-05-04,L005,1054,High
2026-05-04,L007,1057,Medium
2026-05-04,L009,693,Medium
2026-05-04,L011,603,Low
2026-05-04,L004,838,Medium
2026-05-04,L006,864,Medium
2026-05-04,L008,810,Medium
2026-05-04,L010,699,Medium
2026-05-05,L005,1100,High
2026-05-05,L007,949,Medium
2026-05-05,L009,637,Low
2026-05-05,L011,541,Low
2026-05-05,L004,887,Medium
2026-05-05,L006,340,Low
2026-05-05,L008,536,Low
2026-05-05,L010,646,Medium
2026-05-06,L005,1125,High
2026-05-06,L007,870,Medium
2026-05-06,L009,636,Low
2026-05-06,L011,487,Low
2026-05-06,L004,551,Low
2026-05-06,L006,786,Medium
2026-05-06,L008,569,Low
2026-05-06,L010,520,Low
2026-05-07,L005,1196,High
2026-05-07,L007,946,Medium
2026-05-07,L009,538,Low
2026-05-07,L011,481,Low
2026-05-07,L004,805,Medium
2026-05-07,L006,506,Medium
2026-05-07,L008,725,Medium
2026-05-07,L010,440,Low
2026-05-08,L005,1027,High
2026-05-08,L007,910,Medium
2026-05-08,L009,558,Medium
2026-05-08,L011,526,Low
2026-05-08,L004,320,Low
2026-05-08,L006,752,Medium
2026-05-08,L008,886,Medium
2026-05-08,L010,447,Low
2026-05-09,L005,1470,High
2026-05-09,L007,1069,High
2026-05-09,L009,787,Medium
2026-05-09,L011,537,Low
2026-05-09,L004,835,Medium
2026-05-09,L006,464,Low
2026-05-09,L008,683,Medium
2026-05-09,L010,500,Low
2026-05-10,L005,1262,High
2026-05-10,L007,1103,High
2026-05-10,L009,760,Medium
2026-05-10,L011,580,Medium
2026-05-10,L004,595,Medium
2026-05-10,L006,730,Medium
2026-05-10,L008,677,Medium
2026-05-10,L010,924,Medium
2026-05-11,L005,1002,Medium
2026-05-11,L007,932,Medium
2026-05-11,L009,689,Medium
2026-05-11,L011,356,Low
2026-05-11,L004,640,Medium
2026-05-11,L006,494,Low
2026-05-11,L008,386,Low
2026-05-11,L010,603,Medium
2026-05-12,L005,1003,High
2026-05-12,L007,934,Medium
2026-05-12,L009,552,Low
2026-05-12,L011,535,Low
2026-05-12,L004,345,Low
2026-05-12,L006,497,Low
2026-05-12,L008,475,Low
2026-05-12,L010,483,Low
2026-05-13,L005,1272,High
2026-05-13,L007,923,Medium
2026-05-13,L009,588,Medium
2026-05-13,L011,579,Low
2026-05-13,L004,462,Low
2026-05-13,L006,504,Low
2026-05-13,L008,490,Low
2026-05-13,L010,543,Low
2026-05-14,L005,1024,High
2026-05-14,L007,946,Medium
2026-05-14,L009,521,Low
2026-05-14,L011,452,Low
2026-05-14,L004,354,Low
2026-05-14,L006,650,Low
2026-05-14,L008,461,Low
2026-05-14,L010,669,Medium
2026-05-15,L005,1092,High
2026-05-15,L007,921,Medium
2026-05-15,L009,657,Low
2026-05-15,L011,406,Low
2026-05-15,L004,587,Low
2026-05-15,L006,667,Medium
2026-05-15,L008,694,Medium
2026-05-15,L010,729,Medium
