occupied_rooms,total_rooms,active_bookings,maximum_capacity,new_bookings,checkins,time_interval,occupancy_rate,capacity_utilization,booking_velocity,checkin_flow
65,120,0,120,0,0,1,0.5416666666666666,0.0,0.0,0.0
99,120,0,120,0,0,1,0.825,0.0,0.0,0.0
95,120,0,120,0,0,1,0.7916666666666666,0.0,0.0,0.0
81,120,0,120,0,0,1,0.675,0.0,0.0,0.0
74,120,0,120,0,0,1,0.6166666666666667,0.0,0.0,0.0
59,120,0,120,0,0,1,0.49166666666666664,0.0,0.0,0.0
55,120,0,120,0,0,1,0.4583333333333333,0.0,0.0,0.0
64,120,0,120,0,0,1,0.5333333333333333,0.0,0.0,0.0
83,120,0,120,0,0,1,0.6916666666666667,0.0,0.0,0.0
87,120,0,120,0,0,1,0.725,0.0,0.0,0.0
80,120,0,120,0,0,1,0.6666666666666666,0.0,0.0,0.0
71,120,0,120,0,0,1,0.5916666666666667,0.0,0.0,0.0
57,120,0,120,0,0,1,0.475,0.0,0.0,0.0
76,120,0,120,0,0,1,0.6333333333333333,0.0,0.0,0.0
74,120,0,120,0,0,1,0.6166666666666667,0.0,0.0,0.0
117,200,0,200,0,0,1,0.585,0.0,0.0,0.0
131,200,0,200,0,0,1,0.655,0.0,0.0,0.0
134,200,0,200,0,0,1,0.67,0.0,0.0,0.0
108,200,0,200,0,0,1,0.54,0.0,0.0,0.0
123,200,0,200,0,0,1,0.615,0.0,0.0,0.0
83,200,0,200,0,0,1,0.415,0.0,0.0,0.0
103,200,0,200,0,0,1,0.515,0.0,0.0,0.0
113,200,0,200,0,0,1,0.565,0.0,0.0,0.0
135,200,0,200,0,0,1,0.675,0.0,0.0,0.0
132,200,0,200,0,0,1,0.66,0.0,0.0,0.0
118,200,0,200,0,0,1,0.59,0.0,0.0,0.0
98,200,0,200,0,0,1,0.49,0.0,0.0,0.0
103,200,0,200,0,0,1,0.515,0.0,0.0,0.0
114,200,0,200,0,0,1,0.57,0.0,0.0,0.0
107,200,0,200,0,0,1,0.535,0.0,0.0,0.0
64,90,0,90,0,0,1,0.7111111111111111,0.0,0.0,0.0
84,90,0,90,0,0,1,0.9333333333333333,0.0,0.0,0.0
62,90,0,90,0,0,1,0.6888888888888889,0.0,0.0,0.0
76,90,0,90,0,0,1,0.8444444444444444,0.0,0.0,0.0
63,90,0,90,0,0,1,0.7,0.0,0.0,0.0
65,90,0,90,0,0,1,0.7222222222222222,0.0,0.0,0.0
53,90,0,90,0,0,1,0.5888888888888889,0.0,0.0,0.0
76,90,0,90,0,0,1,0.8444444444444444,0.0,0.0,0.0
77,90,0,90,0,0,1,0.8555555555555555,0.0,0.0,0.0
42,90,0,90,0,0,1,0.4666666666666667,0.0,0.0,0.0
57,90,0,90,0,0,1,0.6333333333333333,0.0,0.0,0.0
71,90,0,90,0,0,1,0.7888888888888889,0.0,0.0,0.0
63,90,0,90,0,0,1,0.7,0.0,0.0,0.0
84,90,0,90,0,0,1,0.9333333333333333,0.0,0.0,0.0
84,90,0,90,0,0,1,0.9333333333333333,0.0,0.0,0.0
60,110,0,110,0,0,1,0.5454545454545454,0.0,0.0,0.0
66,110,0,110,0,0,1,0.6,0.0,0.0,0.0
95,110,0,110,0,0,1,0.8636363636363636,0.0,0.0,0.0
61,110,0,110,0,0,1,0.5545454545454546,0.0,0.0,0.0
60,110,0,110,0,0,1,0.5454545454545454,0.0,0.0,0.0
52,110,0,110,0,0,1,0.4727272727272727,0.0,0.0,0.0
51,110,0,110,0,0,1,0.4636363636363636,0.0,0.0,0.0
52,110,0,110,0,0,1,0.4727272727272727,0.0,0.0,0.0
63,110,0,110,0,0,1,0.5727272727272728,0.0,0.0,0.0
52,110,0,110,0,0,1,0.4727272727272727,0.0,0.0,0.0
41,110,0,110,0,0,1,0.37272727272727274,0.0,0.0,0.0
60,110,0,110,0,0,1,0.5454545454545454,0.0,0.0,0.0
56,110,0,110,0,0,1,0.509090909090909,0.0,0.0,0.0
63,110,0,110,0,0,1,0.5727272727272728,0.0,0.0,0.0
37,110,0,110,0,0,1,0.33636363636363636,0.0,0.0,0.0
38,60,0,60,0,0,1,0.6333333333333333,0.0,0.0,0.0
48,60,0,60,0,0,1,0.8,0.0,0.0,0.0
42,60,0,60,0,0,1,0.7,0.0,0.0,0.0
52,60,0,60,0,0,1,0.8666666666666667,0.0,0.0,0.0
60,60,0,60,0,0,1,1.0,0.0,0.0,0.0
31,60,0,60,0,0,1,0.5166666666666667,0.0,0.0,0.0
18,60,0,60,0,0,1,0.3,0.0,0.0,0.0
43,60,0,60,0,0,1,0.7166666666666667,0.0,0.0,0.0
27,60,0,60,0,0,1,0.45,0.0,0.0,0.0
40,60,0,60,0,0,1,0.6666666666666666,0.0,0.0,0.0
59,60,0,60,0,0,1,0.9833333333333333,0.0,0.0,0.0
36,60,0,60,0,0,1,0.6,0.0,0.0,0.0
14,60,0,60,0,0,1,0.23333333333333334,0.0,0.0,0.0
37,60,0,60,0,0,1,0.6166666666666667,0.0,0.0,0.0
38,60,0,60,0,0,1,0.6333333333333333,0.0,0.0,0.0
72,140,0,140,0,0,1,0.5142857142857142,0.0,0.0,0.0
88,140,0,140,0,0,1,0.6285714285714286,0.0,0.0,0.0
73,140,0,140,0,0,1,0.5214285714285715,0.0,0.0,0.0
73,140,0,140,0,0,1,0.5214285714285715,0.0,0.0,0.0
83,140,0,140,0,0,1,0.5928571428571429,0.0,0.0,0.0
86,140,0,140,0,0,1,0.6142857142857143,0.0,0.0,0.0
67,140,0,140,0,0,1,0.4785714285714286,0.0,0.0,0.0
61,140,0,140,0,0,1,0.4357142857142857,0.0,0.0,0.0
85,140,0,140,0,0,1,0.6071428571428571,0.0,0.0,0.0
84,140,0,140,0,0,1,0.6,0.0,0.0,0.0
68,140,0,140,0,0,1,0.4857142857142857,0.0,0.0,0.0
76,140,0,140,0,0,1,0.5428571428571428,0.0,0.0,0.0
90,140,0,140,0,0,1,0.6428571428571429,0.0,0.0,0.0
86,140,0,140,0,0,1,0.6142857142857143,0.0,0.0,0.0
67,140,0,140,0,0,1,0.4785714285714286,0.0,0.0,0.0
