occupied_rooms,total_rooms,active_bookings,maximum_capacity,new_bookings,checkins,time_interval
65,120,0,120,0,0,1
99,120,0,120,0,0,1
95,120,0,120,0,0,1
81,120,0,120,0,0,1
74,120,0,120,0,0,1
59,120,0,120,0,0,1
55,120,0,120,0,0,1
64,120,0,120,0,0,1
83,120,0,120,0,0,1
87,120,0,120,0,0,1
80,120,0,120,0,0,1
71,120,0,120,0,0,1
57,120,0,120,0,0,1
76,120,0,120,0,0,1
74,120,0,120,0,0,1
117,200,0,200,0,0,1
131,200,0,200,0,0,1
134,200,0,200,0,0,1
108,200,0,200,0,0,1
123,200,0,200,0,0,1
83,200,0,200,0,0,1
103,200,0,200,0,0,1
113,200,0,200,0,0,1
135,200,0,200,0,0,1
132,200,0,200,0,0,1
118,200,0,200,0,0,1
98,200,0,200,0,0,1
103,200,0,200,0,0,1
114,200,0,200,0,0,1
107,200,0,200,0,0,1
64,90,0,90,0,0,1
84,90,0,90,0,0,1
62,90,0,90,0,0,1
76,90,0,90,0,0,1
63,90,0,90,0,0,1
65,90,0,90,0,0,1
53,90,0,90,0,0,1
76,90,0,90,0,0,1
77,90,0,90,0,0,1
42,90,0,90,0,0,1
57,90,0,90,0,0,1
71,90,0,90,0,0,1
63,90,0,90,0,0,1
84,90,0,90,0,0,1
84,90,0,90,0,0,1
60,110,0,110,0,0,1
66,110,0,110,0,0,1
95,110,0,110,0,0,1
61,110,0,110,0,0,1
60,110,0,110,0,0,1
52,110,0,110,0,0,1
51,110,0,110,0,0,1
52,110,0,110,0,0,1
63,110,0,110,0,0,1
52,110,0,110,0,0,1
41,110,0,110,0,0,1
60,110,0,110,0,0,1
56,110,0,110,0,0,1
63,110,0,110,0,0,1
37,110,0,110,0,0,1
38,60,0,60,0,0,1
48,60,0,60,0,0,1
42,60,0,60,0,0,1
52,60,0,60,0,0,1
60,60,0,60,0,0,1
31,60,0,60,0,0,1
18,60,0,60,0,0,1
43,60,0,60,0,0,1
27,60,0,60,0,0,1
40,60,0,60,0,0,1
59,60,0,60,0,0,1
36,60,0,60,0,0,1
14,60,0,60,0,0,1
37,60,0,60,0,0,1
38,60,0,60,0,0,1
72,140,0,140,0,0,1
88,140,0,140,0,0,1
73,140,0,140,0,0,1
73,140,0,140,0,0,1
83,140,0,140,0,0,1
86,140,0,140,0,0,1
67,140,0,140,0,0,1
61,140,0,140,0,0,1
85,140,0,140,0,0,1
84,140,0,140,0,0,1
68,140,0,140,0,0,1
76,140,0,140,0,0,1
90,140,0,140,0,0,1
86,140,0,140,0,0,1
67,140,0,140,0,0,1
