booking_id,pilgrim_id,accommodation_id,booking_date,nights,booking_status
B00001,P0255,A001,2026-05-01,2,Completed
B00002,P0086,A001,2026-05-01,2,Confirmed
B00003,P0376,A001,2026-05-01,1,Confirmed
B00004,P0140,A001,2026-05-01,3,Confirmed
B00005,P0262,A001,2026-05-02,2,Confirmed
B00006,P0189,A001,2026-05-02,1,CheckedIn
B00007,P0117,A001,2026-05-02,3,Completed
B00008,P0126,A001,2026-05-02,1,CheckedIn
B00009,P0092,A001,2026-05-02,1,Completed
B00010,P0366,A001,2026-05-02,3,Completed
B00011,P0469,A001,2026-05-03,3,CheckedIn
B00012,P0293,A001,2026-05-03,2,Confirmed
B00013,P0092,A001,2026-05-03,1,Completed
B00014,P0489,A001,2026-05-03,2,Confirmed
B00015,P0444,A001,2026-05-03,2,CheckedIn
B00016,P0005,A001,2026-05-03,2,Confirmed
B00017,P0125,A001,2026-05-04,2,CheckedIn
B00018,P0396,A001,2026-05-04,1,Completed
B00019,P0390,A001,2026-05-04,1,Confirmed
B00020,P0013,A001,2026-05-04,1,Completed
B00021,P0487,A001,2026-05-04,2,Confirmed
B00022,P0373,A001,2026-05-05,2,Confirmed
B00023,P0215,A001,2026-05-05,2,Confirmed
B00024,P0073,A001,2026-05-05,3,CheckedIn
B00025,P0460,A001,2026-05-05,3,CheckedIn
B00026,P0383,A001,2026-05-06,1,Completed
B00027,P0327,A001,2026-05-06,2,Confirmed
B00028,P0223,A001,2026-05-06,3,Confirmed
B00029,P0475,A001,2026-05-07,2,Completed
B00030,P0168,A001,2026-05-07,2,CheckedIn
B00031,P0484,A001,2026-05-07,1,Confirmed
B00032,P0085,A001,2026-05-08,2,CheckedIn
B00033,P0275,A001,2026-05-08,2,Confirmed
B00034,P0136,A001,2026-05-08,1,Confirmed
B00035,P0424,A001,2026-05-08,3,Completed
B00036,P0168,A001,2026-05-09,1,Confirmed
B00037,P0203,A001,2026-05-09,3,Confirmed
B00038,P0420,A001,2026-05-09,1,Confirmed
B00039,P0438,A001,2026-05-09,2,Completed
B00040,P0049,A001,2026-05-09,2,Confirmed
B00041,P0007,A001,2026-05-10,1,Confirmed
B00042,P0191,A001,2026-05-10,3,Completed
B00043,P0044,A001,2026-05-10,3,Completed
B00044,P0012,A001,2026-05-10,1,Confirmed
B00045,P0228,A001,2026-05-10,1,Confirmed
B00046,P0170,A001,2026-05-11,1,Confirmed
B00047,P0026,A001,2026-05-11,1,Completed
B00048,P0255,A001,2026-05-11,1,CheckedIn
B00049,P0182,A001,2026-05-11,1,Confirmed
B00050,P0453,A001,2026-05-11,1,Confirmed
B00051,P0256,A001,2026-05-12,2,Completed
B00052,P0144,A001,2026-05-12,2,Confirmed
