delivery_id,calendar_date,source_location_id,destination_location_id,delivery_status,delivery_time_hours
D0001,2026-05-01,L008,L005,Delayed,2
D0002,2026-05-01,L008,L007,OnTime,7
D0003,2026-05-01,L008,L009,Delayed,3
D0004,2026-05-01,L008,L011,OnTime,5
D0005,2026-05-01,L006,L004,OnTime,6
D0006,2026-05-01,L008,L006,OnTime,9
D0007,2026-05-01,L001,L008,OnTime,6
D0008,2026-05-01,L001,L010,Delayed,8
D0009,2026-05-02,L002,L005,OnTime,3
D0010,2026-05-02,L006,L007,Delayed,3
D0011,2026-05-02,L008,L009,Delayed,5
D0012,2026-05-02,L001,L011,Delayed,10
D0013,2026-05-02,L006,L004,Delayed,10
D0014,2026-05-02,L002,L006,Delayed,8
D0015,2026-05-02,L008,L008,OnTime,2
D0016,2026-05-02,L002,L010,Delayed,5
D0017,2026-05-03,L008,L005,Delayed,10
D0018,2026-05-03,L008,L007,OnTime,10
D0019,2026-05-03,L006,L009,Delayed,4
D0020,2026-05-03,L002,L011,Delayed,8
D0021,2026-05-03,L006,L004,OnTime,5
D0022,2026-05-03,L008,L006,Delayed,6
D0023,2026-05-03,L002,L008,Delayed,5
D0024,2026-05-03,L002,L010,OnTime,4
D0025,2026-05-04,L001,L005,OnTime,6
D0026,2026-05-04,L008,L007,Delayed,8
D0027,2026-05-04,L001,L009,OnTime,4
D0028,2026-05-04,L002,L011,OnTime,6
D0029,2026-05-04,L006,L004,OnTime,2
D0030,2026-05-04,L008,L006,OnTime,2
D0031,2026-05-04,L001,L008,Delayed,6
D0032,2026-05-04,L001,L010,Delayed,7
D0033,2026-05-05,L001,L005,Delayed,4
D0034,2026-05-05,L001,L007,OnTime,10
D0035,2026-05-05,L006,L009,Delayed,3
D0036,2026-05-05,L001,L011,Delayed,7
D0037,2026-05-05,L008,L004,OnTime,8
D0038,2026-05-05,L002,L006,OnTime,6
D0039,2026-05-05,L008,L008,Delayed,2
D0040,2026-05-05,L006,L010,OnTime,7
D0041,2026-05-06,L008,L005,Delayed,5
D0042,2026-05-06,L006,L007,OnTime,7
D0043,2026-05-06,L006,L009,Delayed,2
D0044,2026-05-06,L001,L011,OnTime,5
D0045,2026-05-06,L008,L004,Delayed,7
D0046,2026-05-06,L001,L006,OnTime,9
D0047,2026-05-06,L001,L008,Delayed,6
D0048,2026-05-06,L001,L010,OnTime,6
D0049,2026-05-07,L002,L005,Delayed,7
D0050,2026-05-07,L008,L007,OnTime,6
D0051,2026-05-07,L001,L009,Delayed,9
D0052,2026-05-07,L008,L011,Delayed,8
D0053,2026-05-07,L001,L004,OnTime,6
D0054,2026-05-07,L008,L006,Delayed,9
D0055,2026-05-07,L002,L008,Delayed,4
D0056,2026-05-07,L008,L010,OnTime,6
D0057,2026-05-08,L001,L005,OnTime,4
D0058,2026-05-08,L002,L007,Delayed,7
D0059,2026-05-08,L008,L009,OnTime,6
D0060,2026-05-08,L006,L011,Delayed,5
D0061,2026-05-08,L002,L004,Delayed,8
D0062,2026-05-08,L002,L006,OnTime,2
D0063,2026-05-08,L002,L008,OnTime,9
D0064,2026-05-08,L006,L010,OnTime,2
D0065,2026-05-09,L008,L005,Delayed,4
D0066,2026-05-09,L006,L007,OnTime,3
D0067,2026-05-09,L008,L009,Delayed,9
D0068,2026-05-09,L002,L011,OnTime,5
D0069,2026-05-09,L006,L004,Delayed,9
D0070,2026-05-09,L002,L006,Delayed,5
D0071,2026-05-09,L002,L008,Delayed,5
D0072,2026-05-09,L002,L010,Delayed,4
D0073,2026-05-10,L006,L005,Delayed,5
D0074,2026-05-10,L008,L007,OnTime,7
D0075,2026-05-10,L008,L009,OnTime,2
D0076,2026-05-10,L002,L011,Delayed,8
D0077,2026-05-10,L002,L004,Delayed,8
D0078,2026-05-10,L006,L006,OnTime,3
D0079,2026-05-10,L001,L008,OnTime,7
D0080,2026-05-10,L002,L010,Delayed,7
D0081,2026-05-11,L001,L005,OnTime,6
D0082,2026-05-11,L008,L007,Delayed,8
D0083,2026-05-11,L006,L009,OnTime,10
D0084,2026-05-11,L002,L011,Delayed,4
D0085,2026-05-11,L008,L004,OnTime,3
D0086,2026-05-11,L008,L006,OnTime,6
D0087,2026-05-11,L006,L008,OnTime,4
D0088,2026-05-11,L008,L010,Delayed,6
D0089,2026-05-12,L006,L005,Delayed,8
D0090,2026-05-12,L008,L007,OnTime,10
D0091,2026-05-12,L008,L009,OnTime,5
D0092,2026-05-12,L001,L011,OnTime,4
D0093,2026-05-12,L002,L004,Delayed,8
D0094,2026-05-12,L008,L006,OnTime,9
D0095,2026-05-12,L008,L008,Delayed,9
D0096,2026-05-12,L002,L010,OnTime,7
D0097,2026-05-13,L002,L005,Delayed,4
D0098,2026-05-13,L002,L007,Delayed,5
D0099,2026-05-13,L001,L009,OnTime,8
D0100,2026-05-13,L008,L011,OnTime,7
D0101,2026-05-13,L006,L004,OnTime,8
D0102,2026-05-13,L001,L006,Delayed,4
D0103,2026-05-13,L001,L008,Delayed,9
D0104,2026-05-13,L006,L010,OnTime,7
D0105,2026-05-14,L001,L005,Delayed,7
D0106,2026-05-14,L001,L007,Delayed,7
D0107,2026-05-14,L008,L009,OnTime,8
D0108,2026-05-14,L002,L011,OnTime,8
D0109,2026-05-14,L001,L004,OnTime,4
D0110,2026-05-14,L008,L006,Delayed,4
D0111,2026-05-14,L006,L008,Delayed,8
D0112,2026-05-14,L006,L010,OnTime,7
D0113,2026-05-15,L001,L005,Delayed,10
D0114,2026-05-15,L008,L007,Delayed,8
D0115,2026-05-15,L006,L009,Delayed,3
D0116,2026-05-15,L008,L011,Delayed,4
D0117,2026-05-15,L008,L004,OnTime,2
D0118,2026-05-15,L006,L006,Delayed,5
D0119,2026-05-15,L002,L008,Delayed,10
D0120,2026-05-15,L008,L010,Delayed,3
