calendar_date,location_id,predicted_demand_units_next_day
2026-05-01,L005,804
2026-05-01,L007,632
2026-05-01,L009,345
2026-05-01,L011,340
2026-05-01,L004,389
2026-05-01,L006,367
2026-05-01,L008,472
2026-05-01,L010,363
2026-05-02,L005,1019
2026-05-02,L007,700
2026-05-02,L009,369
2026-05-02,L011,430
2026-05-02,L004,653
2026-05-02,L006,431
2026-05-02,L008,404
2026-05-02,L010,441
2026-05-03,L005,972
2026-05-03,L007,788
2026-05-03,L009,580
2026-05-03,L011,427
2026-05-03,L004,388
2026-05-03,L006,550
2026-05-03,L008,490
2026-05-03,L010,363
2026-05-04,L005,851
2026-05-04,L007,621
2026-05-04,L009,541
2026-05-04,L011,410
2026-05-04,L004,530
2026-05-04,L006,533
2026-05-04,L008,635
2026-05-04,L010,553
2026-05-05,L005,778
2026-05-05,L007,700
2026-05-05,L009,343
2026-05-05,L011,391
2026-05-05,L004,588
2026-05-05,L006,353
2026-05-05,L008,405
2026-05-05,L010,402
2026-05-06,L005,702
2026-05-06,L007,571
2026-05-06,L009,388
2026-05-06,L011,337
2026-05-06,L004,333
2026-05-06,L006,653
2026-05-06,L008,379
2026-05-06,L010,372
2026-05-07,L005,825
2026-05-07,L007,707
2026-05-07,L009,476
2026-05-07,L011,321
2026-05-07,L004,640
2026-05-07,L006,413
2026-05-07,L008,410
2026-05-07,L010,357
2026-05-08,L005,691
2026-05-08,L007,708
2026-05-08,L009,491
2026-05-08,L011,337
2026-05-08,L004,218
2026-05-08,L006,655
2026-05-08,L008,569
2026-05-08,L010,299
2026-05-09,L005,1039
2026-05-09,L007,760
2026-05-09,L009,683
2026-05-09,L011,432
2026-05-09,L004,617
2026-05-09,L006,360
2026-05-09,L008,569
2026-05-09,L010,435
2026-05-10,L005,952
2026-05-10,L007,876
2026-05-10,L009,565
2026-05-10,L011,488
2026-05-10,L004,531
2026-05-10,L006,511
2026-05-10,L008,481
2026-05-10,L010,555
2026-05-11,L005,701
2026-05-11,L007,620
2026-05-11,L009,543
2026-05-11,L011,272
2026-05-11,L004,376
2026-05-11,L006,380
2026-05-11,L008,271
2026-05-11,L010,348
2026-05-12,L005,893
2026-05-12,L007,519
2026-05-12,L009,335
2026-05-12,L011,374
2026-05-12,L004,218
2026-05-12,L006,337
2026-05-12,L008,438
2026-05-12,L010,371
2026-05-13,L005,785
2026-05-13,L007,709
2026-05-13,L009,470
2026-05-13,L011,270
2026-05-13,L004,295
2026-05-13,L006,391
2026-05-13,L008,325
2026-05-13,L010,415
2026-05-14,L005,730
2026-05-14,L007,469
2026-05-14,L009,343
2026-05-14,L011,314
2026-05-14,L004,302
2026-05-14,L006,337
2026-05-14,L008,323
2026-05-14,L010,526
2026-05-15,L005,732
2026-05-15,L007,704
2026-05-15,L009,335
2026-05-15,L011,372
2026-05-15,L004,440
2026-05-15,L006,428
2026-05-15,L008,463
2026-05-15,L010,375
