calendar_date,location_id,environmental_stress_score
2026-05-01,L005,64.6
2026-05-01,L007,67.6
2026-05-01,L009,50.7
2026-05-01,L011,43.9
2026-05-01,L004,42.0
2026-05-01,L006,36.0
2026-05-01,L008,36.6
2026-05-01,L010,37.0
2026-05-02,L005,83.4
2026-05-02,L007,76.0
2026-05-02,L009,54.7
2026-05-02,L011,46.7
2026-05-02,L004,42.4
2026-05-02,L006,46.1
2026-05-02,L008,44.3
2026-05-02,L010,45.8
2026-05-03,L005,81.9
2026-05-03,L007,73.8
2026-05-03,L009,54.4
2026-05-03,L011,61.0
2026-05-03,L004,39.0
2026-05-03,L006,42.0
2026-05-03,L008,48.0
2026-05-03,L010,40.3
2026-05-04,L005,65.9
2026-05-04,L007,65.6
2026-05-04,L009,44.3
2026-05-04,L011,47.9
2026-05-04,L004,38.0
2026-05-04,L006,44.9
2026-05-04,L008,48.8
2026-05-04,L010,32.9
2026-05-05,L005,72.2
2026-05-05,L007,65.6
2026-05-05,L009,46.2
2026-05-05,L011,43.2
2026-05-05,L004,49.1
2026-05-05,L006,39.5
2026-05-05,L008,43.0
2026-05-05,L010,45.8
2026-05-06,L005,72.2
2026-05-06,L007,62.2
2026-05-06,L009,46.5
2026-05-06,L011,41.8
2026-05-06,L004,32.5
2026-05-06,L006,44.2
2026-05-06,L008,46.9
2026-05-06,L010,49.0
2026-05-07,L005,69.0
2026-05-07,L007,68.7
2026-05-07,L009,49.6
2026-05-07,L011,46.8
2026-05-07,L004,45.6
2026-05-07,L006,55.2
2026-05-07,L008,54.9
2026-05-07,L010,37.2
2026-05-08,L005,61.1
2026-05-08,L007,53.3
2026-05-08,L009,49.9
2026-05-08,L011,44.3
2026-05-08,L004,38.2
2026-05-08,L006,49.0
2026-05-08,L008,49.8
2026-05-08,L010,50.5
2026-05-09,L005,85.2
2026-05-09,L007,71.8
2026-05-09,L009,61.6
2026-05-09,L011,45.1
2026-05-09,L004,35.3
2026-05-09,L006,37.5
2026-05-09,L008,50.0
2026-05-09,L010,42.2
2026-05-10,L005,77.2
2026-05-10,L007,73.3
2026-05-10,L009,44.1
2026-05-10,L011,49.4
2026-05-10,L004,43.6
2026-05-10,L006,40.9
2026-05-10,L008,35.5
2026-05-10,L010,35.5
2026-05-11,L005,65.1
2026-05-11,L007,69.8
2026-05-11,L009,55.4
2026-05-11,L011,47.0
2026-05-11,L004,36.0
2026-05-11,L006,44.0
2026-05-11,L008,37.5
2026-05-11,L010,50.8
2026-05-12,L005,64.5
2026-05-12,L007,58.4
2026-05-12,L009,42.4
2026-05-12,L011,47.8
2026-05-12,L004,34.0
2026-05-12,L006,45.0
2026-05-12,L008,38.5
2026-05-12,L010,44.3
2026-05-13,L005,71.9
2026-05-13,L007,56.8
2026-05-13,L009,57.7
2026-05-13,L011,43.6
2026-05-13,L004,44.0
2026-05-13,L006,44.4
2026-05-13,L008,49.8
2026-05-13,L010,49.4
2026-05-14,L005,76.7
2026-05-14,L007,58.4
2026-05-14,L009,44.2
2026-05-14,L011,50.7
2026-05-14,L004,49.8
2026-05-14,L006,47.7
2026-05-14,L008,47.7
2026-05-14,L010,44.8
2026-05-15,L005,80.8
2026-05-15,L007,60.0
2026-05-15,L009,48.3
2026-05-15,L011,39.4
2026-05-15,L004,57.1
2026-05-15,L006,40.8
2026-05-15,L008,54.5
2026-05-15,L010,47.7
