escalation_id,issue_id,escalated_to,closure_status
ESC0001,IS0003,District Control,Closed
ESC0002,IS0007,District Control,Pending
ESC0003,IS0009,District Control,Closed
ESC0004,IS0014,District Control,Pending
ESC0005,IS0017,District Control,Closed
ESC0006,IS0018,District Control,Closed
ESC0007,IS0019,District Control,Pending
ESC0008,IS0021,District Control,Pending
ESC0009,IS0022,District Control,Pending
ESC0010,IS0023,District Control,Closed
ESC0011,IS0024,District Control,Closed
ESC0012,IS0026,District Control,Pending
ESC0013,IS0027,District Control,Pending
ESC0014,IS0028,District Control,Pending
ESC0015,IS0037,District Control,Closed
ESC0016,IS0038,District Control,Pending
ESC0017,IS0041,District Control,Closed
ESC0018,IS0043,District Control,Closed
ESC0019,IS0044,District Control,Closed
ESC0020,IS0047,District Control,Closed
ESC0021,IS0049,District Control,Pending
ESC0022,IS0050,District Control,Closed
ESC0023,IS0051,District Control,Pending
ESC0024,IS0053,District Control,Pending
ESC0025,IS0054,District Control,Closed
ESC0026,IS0057,District Control,Pending
ESC0027,IS0061,District Control,Closed
ESC0028,IS0062,District Control,Closed
ESC0029,IS0063,District Control,Pending
ESC0030,IS0065,District Control,Closed
ESC0031,IS0068,District Control,Closed
ESC0032,IS0070,District Control,Closed
ESC0033,IS0078,District Control,Pending
ESC0034,IS0083,District Control,Pending
ESC0035,IS0084,District Control,Closed
ESC0036,IS0086,District Control,Closed
ESC0037,IS0087,District Control,Closed
ESC0038,IS0088,District Control,Closed
