calendar_date,location_id,fuel_stock_liters
2026-05-01,L005,216
2026-05-01,L007,212
2026-05-01,L009,205
2026-05-01,L011,160
2026-05-01,L004,201
2026-05-01,L006,193
2026-05-01,L008,206
2026-05-01,L010,169
2026-05-02,L005,207
2026-05-02,L007,217
2026-05-02,L009,239
2026-05-02,L011,229
2026-05-02,L004,220
2026-05-02,L006,190
2026-05-02,L008,211
2026-05-02,L010,189
2026-05-03,L005,217
2026-05-03,L007,216
2026-05-03,L009,189
2026-05-03,L011,185
2026-05-03,L004,190
2026-05-03,L006,195
2026-05-03,L008,217
2026-05-03,L010,179
2026-05-04,L005,197
2026-05-04,L007,193
2026-05-04,L009,209
2026-05-04,L011,161
2026-05-04,L004,199
2026-05-04,L006,234
2026-05-04,L008,219
2026-05-04,L010,181
2026-05-05,L005,223
2026-05-05,L007,209
2026-05-05,L009,208
2026-05-05,L011,182
2026-05-05,L004,187
2026-05-05,L006,188
2026-05-05,L008,181
2026-05-05,L010,196
2026-05-06,L005,191
2026-05-06,L007,225
2026-05-06,L009,185
2026-05-06,L011,236
2026-05-06,L004,201
2026-05-06,L006,214
2026-05-06,L008,201
2026-05-06,L010,204
2026-05-07,L005,181
2026-05-07,L007,195
2026-05-07,L009,183
2026-05-07,L011,178
2026-05-07,L004,207
2026-05-07,L006,205
2026-05-07,L008,172
2026-05-07,L010,202
2026-05-08,L005,191
2026-05-08,L007,173
2026-05-08,L009,221
2026-05-08,L011,226
2026-05-08,L004,188
2026-05-08,L006,143
2026-05-08,L008,224
2026-05-08,L010,223
2026-05-09,L005,172
2026-05-09,L007,184
2026-05-09,L009,188
2026-05-09,L011,192
2026-05-09,L004,198
2026-05-09,L006,206
2026-05-09,L008,204
2026-05-09,L010,234
2026-05-10,L005,197
2026-05-10,L007,217
2026-05-10,L009,185
2026-05-10,L011,211
2026-05-10,L004,176
2026-05-10,L006,175
2026-05-10,L008,196
2026-05-10,L010,233
2026-05-11,L005,185
2026-05-11,L007,182
2026-05-11,L009,141
2026-05-11,L011,167
2026-05-11,L004,226
2026-05-11,L006,209
2026-05-11,L008,176
2026-05-11,L010,203
2026-05-12,L005,169
2026-05-12,L007,162
2026-05-12,L009,203
2026-05-12,L011,225
2026-05-12,L004,184
2026-05-12,L006,209
2026-05-12,L008,233
2026-05-12,L010,235
2026-05-13,L005,166
2026-05-13,L007,215
2026-05-13,L009,204
2026-05-13,L011,205
2026-05-13,L004,207
2026-05-13,L006,185
2026-05-13,L008,195
2026-05-13,L010,223
2026-05-14,L005,228
2026-05-14,L007,206
2026-05-14,L009,233
2026-05-14,L011,222
2026-05-14,L004,204
2026-05-14,L006,221
2026-05-14,L008,235
2026-05-14,L010,208
2026-05-15,L005,210
2026-05-15,L007,195
2026-05-15,L009,180
2026-05-15,L011,231
2026-05-15,L004,189
2026-05-15,L006,201
2026-05-15,L008,201
2026-05-15,L010,180
