calendar_date,medical_facility_id,bed_capacity,occupied_beds,bed_utilization_rate
2026-05-01,M001,20,12,0.6
2026-05-02,M001,20,6,0.3
2026-05-03,M001,20,8,0.4
2026-05-04,M001,20,8,0.4
2026-05-05,M001,20,13,0.65
2026-05-06,M001,20,12,0.6
2026-05-07,M001,20,9,0.45
2026-05-08,M001,20,13,0.65
2026-05-09,M001,20,10,0.5
2026-05-10,M001,20,11,0.55
2026-05-11,M001,20,19,0.95
2026-05-12,M001,20,17,0.85
2026-05-13,M001,20,7,0.35
2026-05-14,M001,20,15,0.75
2026-05-15,M001,20,15,0.75
2026-05-01,M002,12,2,0.17
2026-05-02,M002,12,10,0.83
2026-05-03,M002,12,12,1.0
2026-05-04,M002,12,2,0.17
2026-05-05,M002,12,3,0.25
2026-05-06,M002,12,11,0.92
2026-05-07,M002,12,8,0.67
2026-05-08,M002,12,9,0.75
2026-05-09,M002,12,8,0.67
2026-05-10,M002,12,9,0.75
2026-05-11,M002,12,2,0.17
2026-05-12,M002,12,11,0.92
2026-05-13,M002,12,12,1.0
2026-05-14,M002,12,6,0.5
2026-05-15,M002,12,7,0.58
2026-05-01,M003,40,18,0.45
2026-05-02,M003,40,26,0.65
2026-05-03,M003,40,27,0.68
2026-05-04,M003,40,24,0.6
2026-05-05,M003,40,29,0.72
2026-05-06,M003,40,23,0.57
2026-05-07,M003,40,27,0.68
2026-05-08,M003,40,20,0.5
2026-05-09,M003,40,24,0.6
2026-05-10,M003,40,24,0.6
2026-05-11,M003,40,25,0.62
2026-05-12,M003,40,23,0.57
2026-05-13,M003,40,24,0.6
2026-05-14,M003,40,28,0.7
2026-05-15,M003,40,23,0.57
2026-05-01,M004,18,4,0.22
2026-05-02,M004,18,18,1.0
2026-05-03,M004,18,16,0.89
2026-05-04,M004,18,5,0.28
2026-05-05,M004,18,13,0.72
2026-05-06,M004,18,9,0.5
2026-05-07,M004,18,12,0.67
2026-05-08,M004,18,12,0.67
2026-05-09,M004,18,10,0.56
2026-05-10,M004,18,8,0.44
2026-05-11,M004,18,8,0.44
2026-05-12,M004,18,7,0.39
2026-05-13,M004,18,7,0.39
2026-05-14,M004,18,10,0.56
2026-05-15,M004,18,8,0.44
2026-05-01,M005,60,39,0.65
2026-05-02,M005,60,43,0.72
2026-05-03,M005,60,34,0.57
2026-05-04,M005,60,38,0.63
2026-05-05,M005,60,39,0.65
2026-05-06,M005,60,39,0.65
2026-05-07,M005,60,37,0.62
2026-05-08,M005,60,40,0.67
2026-05-09,M005,60,39,0.65
2026-05-10,M005,60,32,0.53
2026-05-11,M005,60,40,0.67
2026-05-12,M005,60,40,0.67
2026-05-13,M005,60,34,0.57
2026-05-14,M005,60,37,0.62
2026-05-15,M005,60,39,0.65
2026-05-01,M006,10,5,0.5
2026-05-02,M006,10,10,1.0
2026-05-03,M006,10,10,1.0
2026-05-04,M006,10,3,0.3
2026-05-05,M006,10,2,0.2
2026-05-06,M006,10,7,0.7
2026-05-07,M006,10,9,0.9
2026-05-08,M006,10,5,0.5
2026-05-09,M006,10,10,1.0
2026-05-10,M006,10,2,0.2
2026-05-11,M006,10,8,0.8
2026-05-12,M006,10,3,0.3
2026-05-13,M006,10,10,1.0
2026-05-14,M006,10,10,1.0
2026-05-15,M006,10,3,0.3
