calendar_date,accommodation_id,revenue_inr
2026-05-01,A001,104975
2026-05-01,A002,177957
2026-05-01,A003,111296
2026-05-01,A004,88740
2026-05-01,A005,73492
2026-05-01,A006,84168
2026-05-02,A001,171765
2026-05-02,A002,163881
2026-05-02,A003,123984
2026-05-02,A004,107646
2026-05-02,A005,79152
2026-05-02,A006,122144
2026-05-03,A001,199880
2026-05-03,A002,224986
2026-05-03,A003,98332
2026-05-03,A004,167580
2026-05-03,A005,68880
2026-05-03,A006,115486
2026-05-04,A001,138753
2026-05-04,A002,119340
2026-05-04,A003,162792
2026-05-04,A004,116510
2026-05-04,A005,93808
2026-05-04,A006,95119
2026-05-05,A001,132830
2026-05-05,A002,156825
2026-05-05,A003,111258
2026-05-05,A004,128340
2026-05-05,A005,107220
2026-05-05,A006,111718
2026-05-06,A001,109976
2026-05-06,A002,121927
2026-05-06,A003,132080
2026-05-06,A004,95576
2026-05-06,A005,46407
2026-05-06,A006,116702
2026-05-07,A001,112035
2026-05-07,A002,131943
2026-05-07,A003,97891
2026-05-07,A004,78285
2026-05-07,A005,26694
2026-05-07,A006,91924
2026-05-08,A001,117760
2026-05-08,A002,151194
2026-05-08,A003,144400
2026-05-08,A004,93184
2026-05-08,A005,81743
2026-05-08,A006,80581
2026-05-09,A001,145084
2026-05-09,A002,163620
2026-05-09,A003,154000
2026-05-09,A004,104643
2026-05-09,A005,53433
2026-05-09,A006,106930
2026-05-10,A001,148335
2026-05-10,A002,164736
2026-05-10,A003,81270
2026-05-10,A004,92716
2026-05-10,A005,73160
2026-05-10,A006,77532
2026-05-11,A001,122400
2026-05-11,A002,167914
2026-05-11,A003,81681
2026-05-11,A004,80032
2026-05-11,A005,116761
2026-05-11,A006,89624
2026-05-12,A001,155277
2026-05-12,A002,148666
2026-05-12,A003,147254
2026-05-12,A004,90480
2026-05-12,A005,58356
2026-05-12,A006,83144
2026-05-13,A001,94848
2026-05-13,A002,150483
2026-05-13,A003,125370
2026-05-13,A004,92344
2026-05-13,A005,23184
2026-05-13,A006,101340
2026-05-14,A001,139460
2026-05-14,A002,190038
2026-05-14,A003,173208
2026-05-14,A004,130284
2026-05-14,A005,59274
2026-05-14,A006,119110
2026-05-15,A001,140378
2026-05-15,A002,131610
2026-05-15,A003,163632
2026-05-15,A004,67451
2026-05-15,A005,68970
2026-05-15,A006,110885
