calendar_date,route_id,vehicle_count,avg_speed_kmph,congestion_level,congestion_score
2026-05-01,R001,281,31.6,Low,1
2026-05-01,R002,169,29.5,Medium,2
2026-05-01,R003,271,48.4,Low,1
2026-05-01,R004,185,20.7,High,3
2026-05-01,R005,298,38.3,Low,1
2026-05-01,R006,130,42.6,Low,1
2026-05-01,R007,332,37.3,High,3
2026-05-01,R008,153,18.9,High,3
2026-05-02,R001,371,40.5,High,3
2026-05-02,R002,223,23.0,Medium,2
2026-05-02,R003,365,32.3,High,3
2026-05-02,R004,206,21.7,High,3
2026-05-02,R005,390,40.3,High,3
2026-05-02,R006,194,32.8,Low,1
2026-05-02,R007,346,38.6,High,3
2026-05-02,R008,188,30.0,Medium,2
2026-05-03,R001,334,31.4,High,3
2026-05-03,R002,281,26.9,Medium,2
2026-05-03,R003,315,29.8,Medium,2
2026-05-03,R004,239,25.0,Medium,2
2026-05-03,R005,352,37.7,High,3
2026-05-03,R006,222,26.4,Medium,2
2026-05-03,R007,372,30.1,High,3
2026-05-03,R008,219,24.8,Medium,2
2026-05-04,R001,264,39.6,Low,1
2026-05-04,R002,193,23.1,Medium,2
2026-05-04,R003,283,40.7,Low,1
2026-05-04,R004,163,15.0,High,3
2026-05-04,R005,262,42.5,Low,1
2026-05-04,R006,186,33.8,Low,1
2026-05-04,R007,295,40.1,Low,1
2026-05-04,R008,176,26.8,Medium,2
2026-05-05,R001,277,50.9,Low,1
2026-05-05,R002,166,24.8,Medium,2
2026-05-05,R003,265,32.9,Low,1
2026-05-05,R004,160,23.2,Medium,2
2026-05-05,R005,230,39.9,Low,1
2026-05-05,R006,190,34.5,Low,1
2026-05-05,R007,293,33.4,Low,1
2026-05-05,R008,157,14.7,High,3
2026-05-06,R001,252,36.4,Low,1
2026-05-06,R002,189,23.0,Medium,2
2026-05-06,R003,297,34.2,Low,1
2026-05-06,R004,192,16.5,High,3
2026-05-06,R005,279,33.8,Low,1
2026-05-06,R006,172,39.3,Low,1
2026-05-06,R007,275,27.4,Medium,2
2026-05-06,R008,179,27.4,Medium,2
2026-05-07,R001,314,40.8,Low,1
2026-05-07,R002,172,15.2,High,3
2026-05-07,R003,278,40.4,Low,1
2026-05-07,R004,176,12.8,High,3
2026-05-07,R005,274,45.5,Low,1
2026-05-07,R006,172,36.1,Low,1
2026-05-07,R007,290,44.0,Low,1
2026-05-07,R008,203,15.2,High,3
2026-05-08,R001,293,41.8,Low,1
2026-05-08,R002,189,14.6,High,3
2026-05-08,R003,282,33.1,Low,1
2026-05-08,R004,156,19.8,High,3
2026-05-08,R005,245,29.9,Medium,2
2026-05-08,R006,205,35.0,Low,1
2026-05-08,R007,333,35.0,High,3
2026-05-08,R008,219,22.2,Medium,2
2026-05-09,R001,400,38.7,High,3
2026-05-09,R002,200,22.4,Medium,2
2026-05-09,R003,379,41.6,High,3
2026-05-09,R004,262,20.4,High,3
2026-05-09,R005,361,48.8,High,3
2026-05-09,R006,231,45.6,Low,1
2026-05-09,R007,340,33.8,High,3
2026-05-09,R008,197,20.9,High,3
2026-05-10,R001,371,35.1,High,3
2026-05-10,R002,265,24.5,Medium,2
2026-05-10,R003,354,31.5,High,3
2026-05-10,R004,239,28.2,Medium,2
2026-05-10,R005,356,51.0,High,3
2026-05-10,R006,234,44.4,Low,1
2026-05-10,R007,344,33.7,High,3
2026-05-10,R008,234,12.8,High,3
2026-05-11,R001,276,38.1,Low,1
2026-05-11,R002,190,17.6,High,3
2026-05-11,R003,323,36.0,Low,1
2026-05-11,R004,135,14.4,High,3
2026-05-11,R005,265,38.9,Low,1
2026-05-11,R006,210,43.1,Low,1
2026-05-11,R007,259,38.0,Low,1
2026-05-11,R008,203,22.4,Medium,2
2026-05-12,R001,262,28.7,Medium,2
2026-05-12,R002,195,16.9,High,3
2026-05-12,R003,274,33.2,Low,1
2026-05-12,R004,218,19.6,High,3
2026-05-12,R005,288,37.3,Low,1
2026-05-12,R006,166,32.2,Low,1
2026-05-12,R007,321,35.7,Low,1
2026-05-12,R008,187,25.8,Medium,2
2026-05-13,R001,258,33.9,Low,1
2026-05-13,R002,159,29.5,Medium,2
2026-05-13,R003,219,42.4,Low,1
2026-05-13,R004,192,14.2,High,3
2026-05-13,R005,287,31.2,Low,1
2026-05-13,R006,209,34.3,Low,1
2026-05-13,R007,254,38.3,Low,1
2026-05-13,R008,170,17.9,High,3
2026-05-14,R001,290,34.0,Low,1
2026-05-14,R002,231,22.1,Medium,2
2026-05-14,R003,263,34.0,Low,1
2026-05-14,R004,220,18.9,High,3
2026-05-14,R005,302,37.6,Low,1
2026-05-14,R006,161,28.7,Medium,2
2026-05-14,R007,302,34.7,Low,1
2026-05-14,R008,212,22.3,Medium,2
2026-05-15,R001,263,34.5,Low,1
2026-05-15,R002,190,32.3,Low,1
2026-05-15,R003,278,40.3,Low,1
2026-05-15,R004,204,27.9,Medium,2
2026-05-15,R005,284,36.2,Low,1
2026-05-15,R006,212,33.0,Low,1
2026-05-15,R007,226,35.0,Low,1
2026-05-15,R008,167,21.0,High,3
