calendar_date,route_id,recommended_action
2026-05-01,R001,Proceed with monitoring
2026-05-01,R002,Divert or stagger movement
2026-05-01,R003,Proceed with monitoring
2026-05-01,R004,Divert or stagger movement
2026-05-01,R005,Proceed with monitoring
2026-05-01,R006,Divert or stagger movement
2026-05-01,R007,Divert or stagger movement
2026-05-01,R008,Divert or stagger movement
2026-05-02,R001,Divert or stagger movement
2026-05-02,R002,Divert or stagger movement
2026-05-02,R003,Divert or stagger movement
2026-05-02,R004,Divert or stagger movement
2026-05-02,R005,Divert or stagger movement
2026-05-02,R006,Divert or stagger movement
2026-05-02,R007,Divert or stagger movement
2026-05-02,R008,Proceed with monitoring
2026-05-03,R001,Divert or stagger movement
2026-05-03,R002,Divert or stagger movement
2026-05-03,R003,Proceed with monitoring
2026-05-03,R004,Proceed with monitoring
2026-05-03,R005,Divert or stagger movement
2026-05-03,R006,Divert or stagger movement
2026-05-03,R007,Divert or stagger movement
2026-05-03,R008,Proceed with monitoring
2026-05-04,R001,Proceed with monitoring
2026-05-04,R002,Divert or stagger movement
2026-05-04,R003,Proceed with monitoring
2026-05-04,R004,Divert or stagger movement
2026-05-04,R005,Proceed with monitoring
2026-05-04,R006,Divert or stagger movement
2026-05-04,R007,Proceed with monitoring
2026-05-04,R008,Proceed with monitoring
2026-05-05,R001,Proceed with monitoring
2026-05-05,R002,Divert or stagger movement
2026-05-05,R003,Proceed with monitoring
2026-05-05,R004,Proceed with monitoring
2026-05-05,R005,Proceed with monitoring
2026-05-05,R006,Divert or stagger movement
2026-05-05,R007,Proceed with monitoring
2026-05-05,R008,Divert or stagger movement
2026-05-06,R001,Proceed with monitoring
2026-05-06,R002,Divert or stagger movement
2026-05-06,R003,Proceed with monitoring
2026-05-06,R004,Divert or stagger movement
2026-05-06,R005,Proceed with monitoring
2026-05-06,R006,Divert or stagger movement
2026-05-06,R007,Proceed with monitoring
2026-05-06,R008,Proceed with monitoring
2026-05-07,R001,Proceed with monitoring
2026-05-07,R002,Divert or stagger movement
2026-05-07,R003,Proceed with monitoring
2026-05-07,R004,Divert or stagger movement
2026-05-07,R005,Proceed with monitoring
2026-05-07,R006,Divert or stagger movement
2026-05-07,R007,Proceed with monitoring
2026-05-07,R008,Divert or stagger movement
2026-05-08,R001,Proceed with monitoring
2026-05-08,R002,Divert or stagger movement
2026-05-08,R003,Proceed with monitoring
2026-05-08,R004,Divert or stagger movement
2026-05-08,R005,Proceed with monitoring
2026-05-08,R006,Divert or stagger movement
2026-05-08,R007,Divert or stagger movement
2026-05-08,R008,Proceed with monitoring
2026-05-09,R001,Divert or stagger movement
2026-05-09,R002,Divert or stagger movement
2026-05-09,R003,Divert or stagger movement
2026-05-09,R004,Divert or stagger movement
2026-05-09,R005,Divert or stagger movement
2026-05-09,R006,Divert or stagger movement
2026-05-09,R007,Divert or stagger movement
2026-05-09,R008,Divert or stagger movement
2026-05-10,R001,Divert or stagger movement
2026-05-10,R002,Divert or stagger movement
2026-05-10,R003,Divert or stagger movement
2026-05-10,R004,Proceed with monitoring
2026-05-10,R005,Divert or stagger movement
2026-05-10,R006,Divert or stagger movement
2026-05-10,R007,Divert or stagger movement
2026-05-10,R008,Divert or stagger movement
2026-05-11,R001,Proceed with monitoring
2026-05-11,R002,Divert or stagger movement
2026-05-11,R003,Proceed with monitoring
2026-05-11,R004,Divert or stagger movement
2026-05-11,R005,Proceed with monitoring
2026-05-11,R006,Divert or stagger movement
2026-05-11,R007,Proceed with monitoring
2026-05-11,R008,Proceed with monitoring
2026-05-12,R001,Proceed with monitoring
2026-05-12,R002,Divert or stagger movement
2026-05-12,R003,Proceed with monitoring
2026-05-12,R004,Divert or stagger movement
2026-05-12,R005,Proceed with monitoring
2026-05-12,R006,Divert or stagger movement
2026-05-12,R007,Proceed with monitoring
2026-05-12,R008,Proceed with monitoring
2026-05-13,R001,Proceed with monitoring
2026-05-13,R002,Divert or stagger movement
2026-05-13,R003,Proceed with monitoring
2026-05-13,R004,Divert or stagger movement
2026-05-13,R005,Proceed with monitoring
2026-05-13,R006,Divert or stagger movement
2026-05-13,R007,Proceed with monitoring
2026-05-13,R008,Divert or stagger movement
2026-05-14,R001,Proceed with monitoring
2026-05-14,R002,Divert or stagger movement
2026-05-14,R003,Proceed with monitoring
2026-05-14,R004,Divert or stagger movement
2026-05-14,R005,Proceed with monitoring
2026-05-14,R006,Divert or stagger movement
2026-05-14,R007,Proceed with monitoring
2026-05-14,R008,Proceed with monitoring
2026-05-15,R001,Proceed with monitoring
2026-05-15,R002,Divert or stagger movement
2026-05-15,R003,Proceed with monitoring
2026-05-15,R004,Proceed with monitoring
2026-05-15,R005,Proceed with monitoring
2026-05-15,R006,Divert or stagger movement
2026-05-15,R007,Proceed with monitoring
2026-05-15,R008,Divert or stagger movement
