calendar_date,location_id,satisfaction_score,trust_score
2026-05-01,L007,4.27,4.17
2026-05-01,L011,4.09,4.21
2026-05-01,L008,4.0,4.81
2026-05-01,L005,4.53,4.66
2026-05-01,L011,3.92,4.51
2026-05-02,L007,4.12,4.03
2026-05-02,L005,3.26,3.21
2026-05-02,L005,3.81,3.85
2026-05-02,L004,4.23,3.22
2026-05-02,L008,4.73,4.26
2026-05-03,L006,4.28,4.34
2026-05-03,L008,4.53,4.64
2026-05-03,L010,3.8,3.45
2026-05-03,L005,3.56,3.41
2026-05-03,L007,3.2,4.47
2026-05-04,L005,4.25,3.78
2026-05-04,L008,3.82,3.5
2026-05-04,L001,3.56,4.38
2026-05-04,L006,4.18,3.09
2026-05-04,L008,3.8,4.09
2026-05-05,L003,4.01,4.48
2026-05-05,L002,4.71,4.17
2026-05-05,L006,3.32,4.03
2026-05-05,L012,3.14,3.72
2026-05-05,L012,3.67,3.67
2026-05-06,L009,3.21,3.09
2026-05-06,L004,3.72,3.38
2026-05-06,L003,4.52,3.75
2026-05-06,L012,3.49,4.52
2026-05-06,L006,3.66,3.41
2026-05-07,L012,3.52,3.03
2026-05-07,L001,4.38,4.0
2026-05-07,L009,3.78,3.92
2026-05-07,L003,3.58,3.05
2026-05-07,L011,4.41,3.47
2026-05-08,L005,4.37,4.54
2026-05-08,L007,4.21,3.25
2026-05-08,L012,4.59,4.64
2026-05-08,L002,3.23,4.37
2026-05-08,L012,3.81,3.03
2026-05-09,L009,4.13,3.29
2026-05-09,L012,4.1,3.74
2026-05-09,L010,4.56,4.49
2026-05-09,L007,3.97,3.04
2026-05-09,L005,3.88,3.19
2026-05-10,L011,4.08,3.72
2026-05-10,L007,3.26,4.84
2026-05-10,L009,3.57,3.54
2026-05-10,L012,4.01,3.46
2026-05-10,L001,4.79,4.38
2026-05-11,L006,4.4,4.36
2026-05-11,L008,3.48,4.85
2026-05-11,L007,4.41,3.85
2026-05-11,L008,4.06,4.22
2026-05-11,L006,3.34,4.2
2026-05-12,L002,3.26,3.32
2026-05-12,L008,4.11,3.16
2026-05-12,L007,4.15,3.9
2026-05-12,L012,4.53,4.45
2026-05-12,L001,4.4,3.48
2026-05-13,L005,4.36,4.59
2026-05-13,L001,3.65,4.07
2026-05-13,L007,4.58,3.51
2026-05-13,L004,4.38,4.51
2026-05-13,L009,3.95,4.82
2026-05-14,L004,3.65,4.35
2026-05-14,L009,4.04,4.41
2026-05-14,L012,3.24,3.2
2026-05-14,L012,3.23,3.24
2026-05-14,L001,3.38,4.42
2026-05-15,L003,3.44,4.65
2026-05-15,L002,3.17,3.81
2026-05-15,L003,4.16,4.0
2026-05-15,L003,4.37,4.04
2026-05-15,L007,3.12,3.22
