calendar_date,location_id,waste_generated_kg
2026-05-01,L005,326
2026-05-01,L007,321
2026-05-01,L009,152
2026-05-01,L011,189
2026-05-01,L004,120
2026-05-01,L006,120
2026-05-01,L008,156
2026-05-01,L010,120
2026-05-02,L005,434
2026-05-02,L007,400
2026-05-02,L009,202
2026-05-02,L011,217
2026-05-02,L004,154
2026-05-02,L006,161
2026-05-02,L008,153
2026-05-02,L010,148
2026-05-03,L005,444
2026-05-03,L007,378
2026-05-03,L009,264
2026-05-03,L011,235
2026-05-03,L004,120
2026-05-03,L006,120
2026-05-03,L008,120
2026-05-03,L010,168
2026-05-04,L005,349
2026-05-04,L007,296
2026-05-04,L009,203
2026-05-04,L011,199
2026-05-04,L004,145
2026-05-04,L006,214
2026-05-04,L008,138
2026-05-04,L010,124
2026-05-05,L005,387
2026-05-05,L007,336
2026-05-05,L009,192
2026-05-05,L011,177
2026-05-05,L004,176
2026-05-05,L006,120
2026-05-05,L008,145
2026-05-05,L010,183
2026-05-06,L005,332
2026-05-06,L007,307
2026-05-06,L009,220
2026-05-06,L011,143
2026-05-06,L004,120
2026-05-06,L006,142
2026-05-06,L008,144
2026-05-06,L010,170
2026-05-07,L005,370
2026-05-07,L007,322
2026-05-07,L009,211
2026-05-07,L011,173
2026-05-07,L004,156
2026-05-07,L006,162
2026-05-07,L008,224
2026-05-07,L010,132
2026-05-08,L005,316
2026-05-08,L007,293
2026-05-08,L009,219
2026-05-08,L011,188
2026-05-08,L004,147
2026-05-08,L006,150
2026-05-08,L008,168
2026-05-08,L010,220
2026-05-09,L005,462
2026-05-09,L007,363
2026-05-09,L009,271
2026-05-09,L011,191
2026-05-09,L004,148
2026-05-09,L006,120
2026-05-09,L008,190
2026-05-09,L010,152
2026-05-10,L005,402
2026-05-10,L007,388
2026-05-10,L009,196
2026-05-10,L011,234
2026-05-10,L004,146
2026-05-10,L006,164
2026-05-10,L008,120
2026-05-10,L010,120
2026-05-11,L005,346
2026-05-11,L007,323
2026-05-11,L009,209
2026-05-11,L011,150
2026-05-11,L004,120
2026-05-11,L006,120
2026-05-11,L008,120
2026-05-11,L010,168
2026-05-12,L005,360
2026-05-12,L007,279
2026-05-12,L009,159
2026-05-12,L011,193
2026-05-12,L004,120
2026-05-12,L006,145
2026-05-12,L008,120
2026-05-12,L010,168
2026-05-13,L005,374
2026-05-13,L007,273
2026-05-13,L009,227
2026-05-13,L011,176
2026-05-13,L004,120
2026-05-13,L006,144
2026-05-13,L008,173
2026-05-13,L010,209
2026-05-14,L005,352
2026-05-14,L007,279
2026-05-14,L009,202
2026-05-14,L011,192
2026-05-14,L004,163
2026-05-14,L006,187
2026-05-14,L008,207
2026-05-14,L010,173
2026-05-15,L005,378
2026-05-15,L007,285
2026-05-15,L009,228
2026-05-15,L011,149
2026-05-15,L004,206
2026-05-15,L006,128
2026-05-15,L008,235
2026-05-15,L010,157
