calendar_date,location_id,temperature_c,rainfall_mm,condition
2026-05-01,L001,30.6,3.2,Cloudy
2026-05-01,L002,27.6,0.0,Clear
2026-05-01,L003,21.7,0.3,Clear
2026-05-01,L004,19.0,0.4,Clear
2026-05-01,L005,12.0,1.6,Cloudy
2026-05-01,L006,20.4,2.0,Cloudy
2026-05-01,L007,13.7,1.1,Clear
2026-05-01,L008,24.9,0.5,Clear
2026-05-01,L009,12.4,2.4,Cloudy
2026-05-01,L010,18.9,1.7,Cloudy
2026-05-01,L011,15.9,0.0,Clear
2026-05-01,L012,25.6,0.3,Clear
2026-05-02,L001,23.1,1.1,Clear
2026-05-02,L002,26.6,0.0,Clear
2026-05-02,L003,20.9,3.0,Cloudy
2026-05-02,L004,17.4,3.6,Cloudy
2026-05-02,L005,11.2,2.4,Cloudy
2026-05-02,L006,20.6,1.3,Clear
2026-05-02,L007,14.7,1.0,Clear
2026-05-02,L008,22.2,4.3,Rain
2026-05-02,L009,12.1,4.0,Rain
2026-05-02,L010,20.3,3.5,Cloudy
2026-05-02,L011,13.2,0.0,Clear
2026-05-02,L012,24.0,3.5,Cloudy
2026-05-03,L001,25.5,3.2,Cloudy
2026-05-03,L002,26.2,2.7,Cloudy
2026-05-03,L003,23.2,4.6,Rain
2026-05-03,L004,19.9,3.1,Cloudy
2026-05-03,L005,12.8,1.6,Cloudy
2026-05-03,L006,19.7,3.2,Cloudy
2026-05-03,L007,19.6,3.0,Cloudy
2026-05-03,L008,22.7,4.1,Rain
2026-05-03,L009,13.5,4.7,Rain
2026-05-03,L010,15.4,0.0,Clear
2026-05-03,L011,14.1,0.0,Clear
2026-05-03,L012,27.8,2.5,Cloudy
2026-05-04,L001,26.3,2.1,Cloudy
2026-05-04,L002,22.1,3.0,Cloudy
2026-05-04,L003,24.3,1.9,Cloudy
2026-05-04,L004,23.0,0.0,Clear
2026-05-04,L005,12.8,2.1,Cloudy
2026-05-04,L006,25.0,2.6,Cloudy
2026-05-04,L007,16.0,1.8,Cloudy
2026-05-04,L008,21.7,0.7,Clear
2026-05-04,L009,12.6,3.0,Cloudy
2026-05-04,L010,16.4,1.6,Cloudy
2026-05-04,L011,15.5,2.4,Cloudy
2026-05-04,L012,23.4,3.4,Cloudy
2026-05-05,L001,24.8,1.0,Clear
2026-05-05,L002,27.3,0.7,Clear
2026-05-05,L003,20.9,2.9,Cloudy
2026-05-05,L004,23.4,3.1,Cloudy
2026-05-05,L005,17.4,2.2,Cloudy
2026-05-05,L006,18.0,0.1,Clear
2026-05-05,L007,18.5,0.0,Clear
2026-05-05,L008,23.3,2.7,Cloudy
2026-05-05,L009,12.1,2.0,Cloudy
2026-05-05,L010,17.7,5.9,Rain
2026-05-05,L011,16.3,1.7,Cloudy
2026-05-05,L012,24.9,2.4,Cloudy
2026-05-06,L001,27.7,0.1,Clear
2026-05-06,L002,29.2,4.9,Rain
2026-05-06,L003,21.7,4.4,Rain
2026-05-06,L004,20.4,0.0,Clear
2026-05-06,L005,15.9,1.6,Cloudy
2026-05-06,L006,23.6,0.0,Clear
2026-05-06,L007,14.6,1.2,Clear
2026-05-06,L008,20.1,0.0,Clear
2026-05-06,L009,14.5,3.0,Cloudy
2026-05-06,L010,14.8,0.0,Clear
2026-05-06,L011,18.2,0.9,Clear
2026-05-06,L012,21.4,1.0,Clear
2026-05-07,L001,26.2,1.1,Clear
2026-05-07,L002,26.4,0.0,Clear
2026-05-07,L003,24.1,1.1,Clear
2026-05-07,L004,22.9,4.8,Rain
2026-05-07,L005,11.5,1.0,Clear
2026-05-07,L006,20.6,6.1,Rain
2026-05-07,L007,15.4,1.5,Cloudy
2026-05-07,L008,23.1,1.9,Cloudy
2026-05-07,L009,13.2,0.5,Clear
2026-05-07,L010,16.3,1.4,Clear
2026-05-07,L011,15.0,0.2,Clear
2026-05-07,L012,27.4,1.0,Clear
2026-05-08,L001,28.9,0.0,Clear
2026-05-08,L002,22.4,3.7,Cloudy
2026-05-08,L003,22.0,0.9,Clear
2026-05-08,L004,19.1,0.0,Clear
2026-05-08,L005,17.2,0.0,Clear
2026-05-08,L006,23.0,3.2,Cloudy
2026-05-08,L007,13.2,2.8,Cloudy
2026-05-08,L008,24.3,0.6,Clear
2026-05-08,L009,15.8,0.0,Clear
2026-05-08,L010,16.7,1.1,Clear
2026-05-08,L011,15.7,2.8,Cloudy
2026-05-08,L012,26.7,0.9,Clear
2026-05-09,L001,28.0,0.6,Clear
2026-05-09,L002,25.9,3.6,Cloudy
2026-05-09,L003,20.2,3.1,Cloudy
2026-05-09,L004,20.3,4.2,Rain
2026-05-09,L005,15.8,1.6,Cloudy
2026-05-09,L006,17.7,1.2,Clear
2026-05-09,L007,16.7,0.0,Clear
2026-05-09,L008,26.9,0.2,Clear
2026-05-09,L009,17.7,0.0,Clear
2026-05-09,L010,17.2,2.9,Cloudy
2026-05-09,L011,15.6,1.5,Cloudy
2026-05-09,L012,26.6,2.4,Cloudy
2026-05-10,L001,27.0,2.7,Cloudy
2026-05-10,L002,26.4,1.8,Cloudy
2026-05-10,L003,19.3,3.1,Cloudy
2026-05-10,L004,22.2,0.1,Clear
2026-05-10,L005,13.3,2.8,Cloudy
2026-05-10,L006,21.2,2.5,Cloudy
2026-05-10,L007,13.9,1.5,Cloudy
2026-05-10,L008,21.4,2.9,Cloudy
2026-05-10,L009,10.9,3.2,Cloudy
2026-05-10,L010,18.3,4.4,Rain
2026-05-10,L011,16.8,3.0,Cloudy
2026-05-10,L012,26.4,5.5,Rain
2026-05-11,L001,24.2,0.0,Clear
2026-05-11,L002,26.6,0.4,Clear
2026-05-11,L003,21.3,2.4,Cloudy
2026-05-11,L004,19.2,1.8,Cloudy
2026-05-11,L005,10.9,0.4,Clear
2026-05-11,L006,17.8,0.0,Clear
2026-05-11,L007,17.6,0.0,Clear
2026-05-11,L008,28.6,0.0,Clear
2026-05-11,L009,14.7,2.4,Cloudy
2026-05-11,L010,18.8,0.0,Clear
2026-05-11,L011,15.1,0.5,Clear
2026-05-11,L012,24.2,6.1,Rain
2026-05-12,L001,25.3,3.6,Cloudy
2026-05-12,L002,30.1,1.4,Clear
2026-05-12,L003,26.3,0.4,Clear
2026-05-12,L004,19.6,2.8,Cloudy
2026-05-12,L005,15.6,2.6,Cloudy
2026-05-12,L006,17.4,2.6,Cloudy
2026-05-12,L007,15.0,0.2,Clear
2026-05-12,L008,24.6,1.4,Clear
2026-05-12,L009,11.7,1.8,Cloudy
2026-05-12,L010,18.6,2.2,Cloudy
2026-05-12,L011,17.0,2.5,Cloudy
2026-05-12,L012,25.3,3.0,Cloudy
2026-05-13,L001,23.4,1.4,Clear
2026-05-13,L002,26.9,2.3,Cloudy
2026-05-13,L003,20.2,2.0,Cloudy
2026-05-13,L004,22.8,0.0,Clear
2026-05-13,L005,15.0,1.4,Clear
2026-05-13,L006,20.6,1.6,Cloudy
2026-05-13,L007,14.4,3.2,Cloudy
2026-05-13,L008,22.4,1.7,Cloudy
2026-05-13,L009,13.7,0.7,Clear
2026-05-13,L010,16.4,1.9,Cloudy
2026-05-13,L011,13.0,3.8,Cloudy
2026-05-13,L012,23.5,1.2,Clear
2026-05-14,L001,27.1,4.1,Rain
2026-05-14,L002,23.5,3.4,Cloudy
2026-05-14,L003,24.5,2.0,Cloudy
2026-05-14,L004,22.8,1.6,Cloudy
2026-05-14,L005,16.5,0.6,Clear
2026-05-14,L006,19.8,5.6,Rain
2026-05-14,L007,18.4,0.7,Clear
2026-05-14,L008,22.3,4.3,Rain
2026-05-14,L009,13.8,0.7,Clear
2026-05-14,L010,15.6,0.0,Clear
2026-05-14,L011,13.3,0.0,Clear
2026-05-14,L012,24.9,1.4,Clear
2026-05-15,L001,24.7,4.3,Rain
2026-05-15,L002,26.1,3.3,Cloudy
2026-05-15,L003,24.1,1.4,Clear
2026-05-15,L004,21.4,0.0,Clear
2026-05-15,L005,14.7,1.8,Cloudy
2026-05-15,L006,25.4,2.0,Cloudy
2026-05-15,L007,14.4,0.4,Clear
2026-05-15,L008,22.3,0.4,Clear
2026-05-15,L009,16.7,0.4,Clear
2026-05-15,L010,16.3,4.1,Rain
2026-05-15,L011,15.8,0.0,Clear
2026-05-15,L012,25.7,0.5,Clear
